,dep,version,filepath,type,condition,status
0,scikit-learn,>=0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
1,setuptools,>=40.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
2,yfinance,>=0.1.62,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
3,h5py,<3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
4,qiskit-terra,>=0.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
5,docplex,>=2.21.207,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
6,qiskit-ignis,>=0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
7,fastdtw,<=0.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
8,quandl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
9,scipy,>=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
10,psutil,>=5,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
11,dlx,<=1.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
12,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
13,retworkx,>=0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
14,dataclasses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@ python_version < '3.7',*
15,sympy,>=1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
16,numpy,>=1.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements.txt,*,*@*,*
17,ddt,">=1.2.0,!=1.4.0,!=1.4.3",/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
18,pylatexenc,>=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
19,nbsphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
20,sphinx-tabs,>=1.1.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
21,stestr,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
22,matplotlib,>=2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
23,discover,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
24,mypy-extensions,>=0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
25,reno,>=3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
26,ipython,<7.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
27,coverage,>=4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
28,pylint,>=2.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
29,mypy,">=0.780,<0.900",/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
30,Sphinx,">=1.8.3,!=3.1.0,<4",/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
31,networkx,">=2.2,<2.6",/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
32,sphinx-autodoc-typehints,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
33,jupyter-sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
34,qiskit_sphinx_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
35,pycodestyle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
36,qiskit-aer,">=0.8.0,<0.10.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
37,pylintfileheader,>=0.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
38,ipykernel,<5.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/requirements-dev.txt,*,*@*,*
39,torch,<=1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/setup.py,extras_require,@*,*
40,cplex,<=20.1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/setup.py,extras_require,@ python_version < '3.9',*
41,cvxpy,">1.0.0,<=1.1.11,!=1.1.0,!=1.1.1,!=1.1.2,!=1.1.8",/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/setup.py,extras_require,@*,*
42,pyscf,<=1.7.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/setup.py,extras_require,@ sys_platform != 'win32',*
43,scikit-quant,<=0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qiskit-aqua/setup.py,extras_require,@*,*
