,dep,version,filepath,type,condition,status
0,tensorflow-model-optimization,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
1,pyasn1,"<0.5.0,>=0.4.6",/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
2,pytest,>=4.6.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
3,pyparsing,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
4,pyparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
5,requests,"<3,>=2.21.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
6,prompt_toolkit,<=3.0.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
7,scikit-learn,>=0.23.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
8,scipy,>=1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
9,setuptools,>=41.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
10,tqdm,>=4.48.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
11,networkx,>=2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
12,tensorflow,>=2.5.0rc0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
13,argparse,>=1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
14,keras-tuner,==1.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
15,numpy,>=1.16.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/requirements.txt,*,*@*,*
16,numpy,>=1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,install_requires,@*,*
17,scipy,>=1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,install_requires,@*,*
18,pyparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,install_requires,@*,*
19,setuptools,>=41.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,install_requires,@*,*
20,tensorflow-model-optimization,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,install_requires,@*,*
21,networkx,>=2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,install_requires,@*,*
22,keras-tuner,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,install_requires,@*,*
23,scikit-learn,>=0.23.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,install_requires,@*,*
24,tqdm,>=4.48.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,install_requires,@*,*
25,pytest-runner,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,setup_requires,@*,*
26,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/qkeras/setup.py,tests_require,@*,*
