,dep,version,filepath,type,condition,status
0,googleapis-common-protos,==1.52.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
1,nbformat,==4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
2,numpy,==1.24.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
3,pylint,==2.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
4,google-auth,==1.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
5,protobuf,==3.19.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
6,google-api-core,==1.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
7,sympy,==1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
8,google-api-python-client,==1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
9,grpcio,==1.34.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
10,cirq-google,==0.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
11,cirq-core,==0.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
12,yapf,==0.28.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
13,tensorflow,==2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/requirements.txt,*,*@*,*
14,cirq-core,==0.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/release/setup.py,install_requires,*@*,*
15,cirq-google,>=0.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/release/setup.py,install_requires,*@*,*
16,sympy,==1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/release/setup.py,install_requires,*@*,*
17,googleapis-common-protos,==1.52.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/release/setup.py,install_requires,*@*,*
18,google-api-core,==1.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/release/setup.py,install_requires,*@*,*
19,google-auth,==1.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/release/setup.py,install_requires,*@*,*
20,protobuf,==3.19.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/release/setup.py,install_requires,*@*,*
21,tensorflow,==2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/quantum/release/setup.py,extras_require,*@*,*
