,dep,version,filepath,type,condition,status
0,pybuildkite,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/ci/repro-ci-requirements.txt,*,*@*,*
1,paramiko,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/ci/repro-ci-requirements.txt,*,*@*,*
2,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/ci/repro-ci-requirements.txt,*,*@*,*
3,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/ci/repro-ci-requirements.txt,*,*@*,*
4,click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/ci/repro-ci-requirements.txt,*,*@*,*
5,ray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/binder/requirements.txt,*,*@*,*
6,sphinx-click,==3.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
7,sphinx-external-toc,==0.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
8,urllib3,< 1.27,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
9,xgboost_ray,==master,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@special#B.9,*
10,pydantic,< 1.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
11,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@ sys_platform != 'darwin' or platform_machine != 'arm64',*
12,sphinx-version-warning,==1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
13,tensorflow-datasets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
14,fairscale,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@ python_version >= '3.7',*
15,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
16,fastapi,==0.99.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
17,myst-parser,==0.15.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
18,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
19,sphinxemoji,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
20,jupytext,==1.13.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
21,sphinx-remove-toctrees,==0.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
22,sphinxcontrib-redoc,==1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
23,sphinx-copybutton,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
24,autodoc_pydantic,==1.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
25,tune-sklearn,==master,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@special#B.9,*
26,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
27,jsonschema,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
28,lightgbm_ray,==main,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@special#B.9,*
29,myst-nb,==0.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
30,colorama,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
31,pytorch-lightning,==1.6.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
32,pickle5,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
33,sphinx-jsonschema,==1.17.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
34,accelerate,>=0.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
35,sphinx-tabs,==3.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
36,sphinx-book-theme,==0.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
37,transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
38,flatbuffers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
39,colorful,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
40,sphinx,==4.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
41,uvicorn,==0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
42,sphinx-sitemap,==2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
43,filelock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
44,redis,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
45,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
46,sphinx_design,==0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
47,typing-extensions,< 4.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
48,werkzeug,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ray/doc/requirements-doc.txt,*,*@*,*
