,dep,version,filepath,type,condition,status
0,typing,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/requirements.txt,*,*@*,*
1,dm-tree,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/requirements.txt,*,*@*,*
2,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/requirements.txt,*,*@*,*
3,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/requirements.txt,*,*@*,*
4,torchaudio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
5,nose,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
6,better_exchook,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
7,furo,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
8,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
9,tensorflow,==2.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
10,dm-tree,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
11,torchdata,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
12,theano,==0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
13,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
14,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
15,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
16,numpydoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
17,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
18,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/returnn/docs/requirements.txt,*,*@*,*
