,dep,version,filepath,bloated,cve,affected versions,advisory
0,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
1,box2d-py,==2.3.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,no one,no one,no one
2,pyzmq,==20.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,no one,no one,no one
3,addict,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,no one,no one,no one
4,wandb,==0.10.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,PVE-2022-47988,<0.12.12,"Wandb 0.12.12 fixes an unsafe temporary file creation vulnerability.
https://github.com/wandb/client/pull/3360"
5,wandb,==0.10.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2021-33503,<0.12.18,Wandb 0.12.18 updates its dependency 'urllib3' to v1.26.5 to include security fixes.
6,wandb,==0.10.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2020-7212,<0.12.18,Wandb 0.12.18 updates its dependency 'urllib3' to v1.26.5 to include security fixes.
7,wandb,==0.10.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2020-11078,<0.12.18,Wandb 0.12.18 updates its dependency 'httplib2' to v0.19.0 to include security fixes.
8,wandb,==0.10.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2020-26137,<0.12.18,Wandb 0.12.18 updates its dependency 'urllib3' to v1.26.5 to include security fixes.
9,wandb,==0.10.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2020-13757,<0.12.18,Wandb 0.12.18 updates its dependency 'rsa' to v4.7 to include security fixes.
10,wandb,==0.10.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2020-25658,<0.12.18,Wandb 0.12.18 updates its dependency 'rsa' to v4.7 to include security fixes.
11,wandb,==0.10.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2021-21240,<0.12.18,Wandb 0.12.18 updates its dependency 'httplib2' to v0.19.0 to include security fixes.
12,redis,==3.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2023-28858,"<4.3.6,>=4.4.0rc1,<4.4.3,>=4.5.0rc1,<4.5.3","Redis before 4.5.3 leaves a connection open after canceling an async Redis command at an inopportune time, and can send response data to the client of an unrelated request in an off-by-one manner. NOTE: this CVE Record was initially created in response to reports about ChatGPT, and 4.3.6, 4.4.3, and 4.5.3 were released (changing the behavior for pipeline operations); however, please see CVE-2023-28859 about addressing data leakage across AsyncIO connections in general."
13,redis,==3.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2023-28859,"<4.4.4,>=4.5.0rc0,<4.5.4","Redis 4.4.4 and 4.5.4 include a fix for CVE-2023-28859: Redis-py before 4.4.4 and 4.5.x before 4.5.4 leaves a connection open after canceling an async Redis command at an inopportune time, and can send response data to the client of an unrelated request. (This could, for example, happen for a non-pipeline operation.) NOTE: the solutions for CVE-2023-28859 address data leakage across AsyncIO connections in general."
14,ray,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2021-44832,<1.10.0,Ray 1.10.0 updates its dependency 'log4j' to v2.17.1 to include a security fix.
15,ray,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,PVE-2021-42426,<1.8.0,"Ray 1.8.0 fixes a race condition for the stats_fn when using multi-gpu. That caused an issue for any algorithm in which the loss function stores values as members in the policy for later retrieval.
https://github.com/ray-project/ray/issues/18812"
16,ray,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2021-45046,<1.9.1,"Ray 1.9.1 updates its dependency 'log4j' to v2.16.0 to include security fixes.
https://github.com/ray-project/ray/commit/2cdbf974ea63caf4323aacbccaef2394a14a8562"
17,ray,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2021-44228,<1.9.1,"Ray 1.9.1 updates its dependency 'log4j' to v2.16.0 to include security fixes.
https://github.com/ray-project/ray/commit/2cdbf974ea63caf4323aacbccaef2394a14a8562"
18,ray,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,CVE-2021-45105,<1.9.2,Ray 1.9.2 updates its dependency 'log4j' to v2.17.0 to include a security fix.
19,six,>=1.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,no one,no one,no one
20,matplotlib,==3.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,no one,no one,no one
21,plotly,==4.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,no one,no one,no one
22,gym,==0.17.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/rl_algorithms/requirements.txt,False,no one,no one,no one
