,dep,version,filepath,type,condition,status
0,tensorflow_text,>=2.0.0rc0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/semantic-qa-retrieval/py-requirements.txt,*,*@*,*
1,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/semantic-qa-retrieval/py-requirements.txt,*,*@*,*
2,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/semantic-qa-retrieval/py-requirements.txt,*,*@*,*
3,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/semantic-qa-retrieval/py-requirements.txt,*,*@*,*
4,tensorflow-hub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/semantic-qa-retrieval/py-requirements.txt,*,*@*,*
5,numpy,<1.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/semantic-qa-retrieval/py-requirements.txt,*,*@*,*
6,beautifulsoup4,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/test/requirements.txt,*,*@*,*
7,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/test/requirements.txt,*,*@*,*
8,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/test/requirements.txt,*,*@*,*
9,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/test/requirements.txt,*,*@*,*
10,pexpect,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/test/requirements.txt,*,*@*,*
11,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/test/requirements.txt,*,*@*,*
12,CLIP,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/text-image-search/src/python/requirements.txt,*,*@special#B.9 ,*
13,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/text-image-search/src/python/requirements.txt,*,*@*,*
14,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/text-image-search/src/python/requirements.txt,*,*@*,*
15,pyvespa,>= 0.34.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/text-image-search/src/python/requirements.txt,*,*@*,*
16,tenacity,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/text-image-search/src/python/requirements.txt,*,*@*,*
17,ipywidgets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/text-image-search/src/python/requirements.txt,*,*@*,*
18,streamlit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sample-apps/text-image-search/src/python/requirements.txt,*,*@*,*
