,dep,version,filepath,type,condition,status
0,tensorflow,">=1.15.4,<2.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.cpu.txt,*,*@*,*
1,delft,==0.2.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.delft.txt,*,*@*,*
2,matplotlib,<3.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.cv.txt,*,*@*,*
3,torchvision,==0.10.1+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.cv.txt,*,*@*,*
4,layoutparser,==0.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.cv.txt,*,*@*,*
5,torch,==1.9.1+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.cv.txt,*,*@*,*
6,pdf2image,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.txt,*,*@*,*
7,sciencebeam-trainer-delft,==0.0.31,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.txt,*,*@*,*
8,fsspec,>=2022.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.txt,*,*@*,*
9,gcsfs,>=2022.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.txt,*,*@*,*
10,lxml,==4.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.txt,*,*@*,*
11,PyYAML,==6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.txt,*,*@*,*
12,Flask,==2.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.txt,*,*@*,*
13,tesserocr,==2.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.ocr.txt,*,*@*,*
14,pytest-watch,==4.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.dev.txt,*,*@*,*
15,types-setuptools,==57.4.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.dev.txt,*,*@*,*
16,flake8,==4.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.dev.txt,*,*@*,*
17,pylint,==2.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.dev.txt,*,*@*,*
18,twine,==3.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.dev.txt,*,*@*,*
19,pytest,==7.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.dev.txt,*,*@*,*
20,types-PyYAML,==6.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.dev.txt,*,*@*,*
21,mypy,==0.931,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.dev.txt,*,*@*,*
22,pip,==22.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.build.txt,*,*@*,*
23,wheel,==0.37.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sciencebeam/requirements.build.txt,*,*@*,*
