,dep,version,filepath,bloated,cve,affected versions,advisory
0,jupyterlab-pygments,==0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,no one,no one,no one
1,sphinx,==1.8.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,CVE-2020-11023,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
2,sphinx,==1.8.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,CVE-2020-11022,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
3,recommonmark,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,no one,no one,no one
4,pygments,==2.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,CVE-2022-40896,<2.15.0,"Pygments 2.15.0 includes a fix for CVE-2022-40896: In Pygments before 2.15.0 the lexers processing Smithy, SQL/SQL+Jinja or Java properties files from untrusted source are vulnerable to ReDoS."
5,pygments,==2.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,CVE-2021-27291,">=1.1,<2.7.4","Pygments 2.7.4 includes a fix for CVE-2021-27291: In pygments 1.1+, fixed in 2.7.4, the lexers used to parse programming languages rely heavily on regular expressions. Some of the regular expressions have exponential or cubic worst-case complexity and are vulnerable to ReDoS. By crafting malicious input, an attacker can cause a denial of service."
6,pygments,==2.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,CVE-2015-8557,">=1.2.2,<2.1",Pygments 2.1 includes a fix for CVE-2015-8557: The FontManager._get_nix_font_path function in formatters/img.py in pygments 1.2.2 through 2.0.2 allows remote attackers to execute arbitrary commands via shell metacharacters in a font name.
7,pygments,==2.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,CVE-2021-20270,">=1.5,<2.7.4","Pygments 2.7.4 includes a fix for CVE-2021-20270: An infinite loop in SMLLexer in Pygments versions 1.5 to 2.7.3 may lead to denial of service when performing syntax highlighting of a Standard ML (SML) source file, as demonstrated by input that only contains the ""exception"" keyword."
8,sphinx_rtd_theme,==0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,no one,no one,no one
9,nbsphinx,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/docs-requirements.txt,False,no one,no one,no one
10,scikit-learn,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,CVE-2020-13092,">=0,<0.23.1","** DISPUTED ** scikit-learn (aka sklearn) through 0.23.0 can unserialize and execute commands from an untrusted file that is passed to the joblib.load() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the joblib.load() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
11,scikit-learn,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,CVE-2020-28975,">=0,<0.24.dev0","** DISPUTED ** svm_predict_values in svm.cpp in Libsvm v324, as used in scikit-learn 0.23.2 and other products, allows attackers to cause a denial of service (segmentation fault) via a crafted model SVM (introduced via pickle, json, or any other model permanence standard) with a large value in the _n_support array. NOTE: the scikit-learn vendor's position is that the behavior can only occur if the library's API is violated by an application that changes a private attribute."
12,pandas,>=1.1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,CVE-2020-13091,">=0,<1.0.4","** DISPUTED ** pandas through 1.0.3 can unserialize and execute commands from an untrusted file that is passed to the read_pickle() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the read_pickle() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
13,patsy,>=0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
14,autograd,>=1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
15,Deprecated,>=1.2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
16,umap-learn,>=0.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
17,cvxpy,>=1.1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
18,sphinx,==4.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
19,sphinx_rtd_theme,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
20,nbsphinx,==0.8.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
21,recommonmark,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
22,flake8,>=3.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
23,nbval,>=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
24,pytest,>=6.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
25,pytest-xdist,>=1.34.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
26,black,>=19.3b0,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
27,pytest-cov,>=2.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/scikit-lego/setup.py,False,no one,no one,no one
