,dep,version,filepath,type,condition,status
0,Jinja2,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
1,tabulate,==0.8.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
2,pytest-xdist,==1.30.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
3,matplotlib,==3.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
4,alibi,==0.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
5,sh,==1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
6,ipython,==7.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
7,tenacity,==6.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
8,mlserver,==1.3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
9,pytest,==5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
10,flaky,==3.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
11,tensorflow,==2.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
12,nbconvert,==5.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
13,coverage,==4.5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
14,shap,==0.40.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
15,pytest-cov,==2.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/testing/scripts/dev_requirements.txt,*,*@*,*
16,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/wrappers/s2i/python/test_fbs/requirements.txt,*,*@*,*
17,numpy,>=1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
18,autopep8,==1.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
19,boto3,==1.4.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
20,locustio,==0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
21,requests_mock,>=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
22,nose,==1.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
23,mock,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
24,enum34,==1.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
25,requests,>=2.18.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
26,grpcio,==1.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
27,wget,==3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
28,tensorflow,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
29,flake8,">=2.5.1,<2.6",/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
30,coverage,==4.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/loadtester/requirements.txt,*,*@*,*
31,confluent-kafka,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/kafka/requirements.txt,*,*@*,*
32,tensorflow-serving-api,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/util/kafka/requirements.txt,*,*@*,*
33,sphinx-autodoc-typehints,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
34,docutils,<0.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
35,nbsphinx-link,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
36,m2r2,>=0.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
37,sphinxcontrib-youtube,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
38,ipython,>=7.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
39,Jinja2,<3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
40,nbsphinx,>=0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
41,sphinx-panels,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
42,sphinx,==3.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
43,sphinx-autobuild,>=0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
44,sphinx-copybutton,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
45,ipykernel,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
46,readthedocs-sphinx-search,==0.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
47,sphinxcontrib-apidoc,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
48,Pygments,">=2.4.1,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
49,sphinx_material,==0.0.32,/home/daniele/git/NICHE_projects/Repo/Cloneables/seldon-core/doc/requirements.txt,*,*@*,*
