,dep,version,filepath,type,condition,status
0,torch,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
1,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
2,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
3,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
4,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
5,transformers,">=4.6.0,<5.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
6,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
7,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
8,tokenizers,>=0.10.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
9,huggingface-hub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
10,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/requirements.txt,*,*@*,*
11,transformers,">=4.6.0,<5.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
12,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
13,torch,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
14,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
15,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
16,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
17,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
18,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
19,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
20,huggingface-hub,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sentence-transformers/setup.py,install_requires,@*,*
