,dep,version,filepath,type,condition,status
0,sigopt,>=1.6.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/other-languages/requirements.txt,*,*@*,*
1,xgboost,==1.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/xgboost-integration-examples/requirements.txt,*,*@*,*
2,scikit-learn,==1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/xgboost-integration-examples/requirements.txt,*,*@*,*
3,opendatasets,==0.1.22,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/xgboost-integration-examples/requirements.txt,*,*@*,*
4,pandas,==1.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/xgboost-integration-examples/requirements.txt,*,*@*,*
5,sigopt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/xgboost-integration-examples/requirements.txt,*,*@*,*
6,gast,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/optimizing-memn2n/virtual_env_setup/python3_memn2n_tf_env_cpu_requirements.txt,*,*@*,*
7,scipy,==1.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/optimizing-memn2n/virtual_env_setup/python3_memn2n_tf_env_cpu_requirements.txt,*,*@*,*
8,grpcio,==1.53.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/optimizing-memn2n/virtual_env_setup/python3_memn2n_tf_env_cpu_requirements.txt,*,*@*,*
9,tensorflow-estimator,==2.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/optimizing-memn2n/virtual_env_setup/python3_memn2n_tf_env_cpu_requirements.txt,*,*@*,*
10,termcolor,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/optimizing-memn2n/virtual_env_setup/python3_memn2n_tf_env_cpu_requirements.txt,*,*@*,*
11,h5py,==3.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sigopt-examples/optimizing-memn2n/virtual_env_setup/python3_memn2n_tf_env_cpu_requirements.txt,*,*@*,*
