,dep,version,filepath,type,condition,status
0,scipy,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,*,*@*,*
1,tabulate,>=0.7.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,*,*@*,*
2,tqdm,>=4.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,*,*@*,*
3,scikit-learn,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,*,*@*,*
4,numpy,>=1.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,*,*@*,*
5,accelerate,>=0.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
6,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
7,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
8,gpytorch,>=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
9,transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
10,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
11,sacred,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
12,numpydoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
13,safetensors,>=0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
14,protobuf,">=3.12.0,<4.0dev",/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
15,matplotlib,>=2.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
16,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
17,neptune,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
18,pylint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
19,tokenizers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
20,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
21,openpyxl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
22,fire,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
23,wandb,>=0.12.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
24,flaky,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
25,tensorboard,>=1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
26,pytest,>=3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
27,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
28,future,>=0.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,*,*@*,*
29,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/setup.py,extras_require,*@*,*
30,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/setup.py,extras_require,*@*,*
31,Sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/setup.py,extras_require,*@*,*
32,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/setup.py,extras_require,*@*,*
33,numpydoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/setup.py,extras_require,*@*,*
34,kaggle,>=1.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/examples/nuclei_image_segmentation/requirements.txt,*,*@*,*
35,torchvision,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/examples/nuclei_image_segmentation/requirements.txt,*,*@*,*
36,matplotlib,>=2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/examples/nuclei_image_segmentation/requirements.txt,*,*@*,*
37,notebook,>=5.7.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/examples/nuclei_image_segmentation/requirements.txt,*,*@*,*
38,numpydoc,==0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/docs/requirements.txt,*,*@*,*
39,sphinx-rtd-theme,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/docs/requirements.txt,*,*@*,*
40,tabulate,>=0.7.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/docs/requirements.txt,*,*@*,*
41,docutils,<0.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/docs/requirements.txt,*,*@*,*
42,scikit-learn,>=0.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/docs/requirements.txt,*,*@*,*
43,torch,>=1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/docs/requirements.txt,*,*@*,*
44,gpytorch,>=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/docs/requirements.txt,*,*@*,*
45,transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/docs/requirements.txt,*,*@*,*
46,numpy,>=1.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/docs/requirements.txt,*,*@*,*
