,dep,version,filepath,bloated,cve,affected versions,advisory
0,scipy,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,CVE-2013-4251,">=0,<0.12.1",The scipy.weave component in SciPy before 0.12.1 creates insecure temporary directories.
1,tabulate,>=0.7.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,no one,no one,no one
2,tqdm,>=4.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,no one,no one,no one
3,scikit-learn,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,PVE-2022-52255,<0.24.2,"Scikit-learn 0.24.2 includes a fix for a ReDoS vulnerability.
https://github.com/scikit-learn/scikit-learn/issues/19522"
4,scikit-learn,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,CVE-2020-13092,">=0,<0.23.1","** DISPUTED ** scikit-learn (aka sklearn) through 0.23.0 can unserialize and execute commands from an untrusted file that is passed to the joblib.load() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the joblib.load() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
5,scikit-learn,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,CVE-2020-28975,">=0,<0.24.dev0","** DISPUTED ** svm_predict_values in svm.cpp in Libsvm v324, as used in scikit-learn 0.23.2 and other products, allows attackers to cause a denial of service (segmentation fault) via a crafted model SVM (introduced via pickle, json, or any other model permanence standard) with a large value in the _n_support array. NOTE: the scikit-learn vendor's position is that the behavior can only occur if the library's API is violated by an application that changes a private attribute."
6,numpy,>=1.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
7,numpy,>=1.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
8,numpy,>=1.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
9,numpy,>=1.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
10,numpy,>=1.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements.txt,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
11,accelerate,>=0.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,no one,no one,no one
12,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2014-1932,<2.3.1,pillow before 2.3.1 makes insecure use of tempfile.mktemp (CVE-2014-1932).
13,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2014-1933,<2.3.1,pillow before 2.3.1 makes insecure use of tempfile.mktemp (CVE-2014-1933).
14,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2014-3589,"<2.3.2,>=2.5.0,<2.5.2","Pillow versions 2.3.2 and 2.5.2 include a fix for CVE-2014-3589: PIL/IcnsImagePlugin.py in Python Imaging Library (PIL) and Pillow before 2.3.2 and 2.5.x before 2.5.2 allows remote attackers to cause a denial of service via a crafted block size.
https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d"
15,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2014-3007,<2.5.0,"Pillow 2.5.0 includes a fix that prevents shell injection.
https://github.com/python-pillow/Pillow/pull/731"
16,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2014-3598,<2.5.3,pillow before 2.5.3 is vulnerable to a DoS in the Jpeg2KImagePlugin.
17,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2014-9601,<2.6.2,Pillow before 2.6.2 is vulnerable to a PNG decompression DoS (CVE-2014-9601).
18,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2016-0775,<3.1.1,Buffer overflow in the ImagingFliDecode function in libImaging/FliDecode.c in Pillow before 3.1.1 allows remote attackers to cause a denial of service (crash) via a crafted FLI file.
19,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2016-0740,<3.1.1,Buffer overflow in the ImagingLibTiffDecode function in libImaging/TiffDecode.c in Pillow before 3.1.1 allows remote attackers to overwrite memory via a crafted TIFF file.
20,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2016-2533,<3.1.1,Buffer overflow in the ImagingPcdDecode function in PcdDecode.c in Pillow before 3.1.1 and Python Imaging Library (PIL) 1.1.7 and earlier allows remote attackers to cause a denial of service (crash) via a crafted PhotoCD file.
21,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2016-4009,<3.1.1,"Integer overflow in the ImagingResampleHorizontal function in libImaging/Resample.c in Pillow before 3.1.1 allows remote attackers to have unspecified impact via negative values of the new size, which triggers a heap-based buffer overflow."
22,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2016-3076,<3.1.2,pillow before 3.1.2 is vulnerable to an integer overflow in Jpeg2KEncode.c causing a buffer overflow. CVE-2016-3076.
23,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2016-9189,<3.3.2,"Pillow before 3.3.2 allows context-dependent attackers to obtain sensitive information by using the ""crafted image file"" approach, related to an ""Integer Overflow"" issue affecting the Image.core.map_buffer in map.c component."
24,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/skorch/requirements-dev.txt,False,CVE-2016-9190,<3.3.2,"Pillow before 3.3.2 allows context-dependent attackers to execute arbitrary code by using the ""crafted image file"" approach, related to an ""Insecure Sign Extension"" issue affecting the ImagingNew in Storage.c component."
