,dep,version,filepath,type,condition,status
0,blis,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
1,pandas,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
2,pytest,">=5.0.0,<6.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
3,isort,>=4.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
4,pytest-doctestplus,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
5,pytest-cov,>=2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
6,numpy,>=1.16.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
7,torch,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
8,tensorboard,>=2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
9,spacy,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
10,dill,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
11,protobuf,>=3.19.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
12,mypy,==0.760,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
13,black,>=22.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
14,tqdm,>=4.33.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
15,pydocstyle,>=4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
16,distributed,>=2020.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
17,scipy,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
18,flake8,>=3.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
19,tox,>=3.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
20,dask,>=2020.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
21,scikit-learn,>=0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
22,networkx,>=2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
23,munkres,>=1.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,*,*@*,*
24,pyspark,==3.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements-pyspark.txt,*,*@*,*
25,munkres,>=1.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/setup.py,install_requires,@*,*
26,numpy,>=1.16.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/setup.py,install_requires,@*,*
27,scipy,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/setup.py,install_requires,@*,*
28,pandas,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/setup.py,install_requires,@*,*
29,tqdm,>=4.33.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/setup.py,install_requires,@*,*
30,scikit-learn,>=0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/setup.py,install_requires,@*,*
31,torch,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/setup.py,install_requires,@*,*
32,tensorboard,>=2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/setup.py,install_requires,@*,*
33,networkx,>=2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/setup.py,install_requires,@*,*
34,sphinx_autodoc_typehints,==1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/docs/requirements-doc.txt,*,*@*,*
35,sphinx,==2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/docs/requirements-doc.txt,*,*@*,*
36,sphinx_rtd_theme,==0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/docs/requirements-doc.txt,*,*@*,*
