,dep,version,filepath,bloated,cve,affected versions,advisory
0,blis,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
1,pandas,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,CVE-2020-13091,">=0,<1.0.4","** DISPUTED ** pandas through 1.0.3 can unserialize and execute commands from an untrusted file that is passed to the read_pickle() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the read_pickle() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
2,pytest,">=5.0.0,<6.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
3,isort,>=4.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
4,pytest-doctestplus,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
5,pytest-cov,>=2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
6,numpy,>=1.16.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
7,numpy,>=1.16.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
8,numpy,>=1.16.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
9,numpy,>=1.16.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
10,torch,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
11,tensorboard,>=2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
12,spacy,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
13,dill,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
14,protobuf,>=3.19.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,CVE-2022-1941,"<3.18.3,>=3.19.0rc0,<3.19.5,>=3.20.0rc0,<3.20.2,>=4.0.0rc0,<4.21.6","A parsing vulnerability for the MessageSet type in the ProtocolBuffers versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 3.21.5 for protobuf-cpp, and versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 4.21.5 for protobuf-python can lead to out of memory failures. A specially crafted message with multiple key-value per elements creates parsing issues, and can lead to a Denial of Service against services receiving unsanitized input. We recommend upgrading to versions 3.18.3, 3.19.5, 3.20.2, 3.21.6 for protobuf-cpp and 3.18.3, 3.19.5, 3.20.2, 4.21.6 for protobuf-python. Versions for 3.16 and 3.17 are no longer updated."
15,mypy,==0.760,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
16,black,>=22.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
17,tqdm,>=4.33.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
18,pydocstyle,>=4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
19,distributed,>=2020.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,CVE-2021-42343,">=0,<2021.10.0",Distributed 2021.10.0 includes a fix for CVE-2021-42343: Single machine Dask clusters started with dask.distributed.LocalCluster or dask.distributed.Client (which defaults to using LocalCluster) would mistakenly configure their respective Dask workers to listen on external interfaces (typically with a randomly selected high port) rather than only on localhst. A Dask cluster created using this method (when running on a machine that has an applicable port exposed) could be used by a sophisticated attacker to achieve remote code execution.
20,scipy,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,CVE-2013-4251,">=0,<0.12.1",The scipy.weave component in SciPy before 0.12.1 creates insecure temporary directories.
21,flake8,>=3.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
22,tox,>=3.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/snorkel/requirements.txt,False,no one,no one,no one
