,dep,version,filepath,type,condition,status
0,docutils,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements-test.txt,*,*@*,*
1,mock,>=3.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements-test.txt,*,*@*,*
2,tensorflow-datasets,">1,<4",/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements-test.txt,*,*@*,*
3,dm-tree,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements.txt,*,*@*,*
4,numpy,>=1.16.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements.txt,*,*@*,*
5,tabulate,>=0.7.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements.txt,*,*@*,*
6,wrapt,>=1.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements.txt,*,*@*,*
7,absl-py,>=0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements.txt,*,*@*,*
8,tensorflow,==2.12.0rc0,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements-tf.txt,*,*@*,*
9,tensorflow-probability,==0.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/requirements-tf.txt,*,*@*,*
10,dm-tree,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
11,numpy,>=1.16.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
12,tabulate,>=0.7.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
13,wrapt,>=1.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
14,absl-py,>=0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
15,sphinxcontrib-katex,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
16,sphinx_rtd_theme,>=0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
17,sphinx-autodoc-typehints,>=1.10.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
18,sphinxcontrib-bibtex,">=0.4.2,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
19,sphinx,>=2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,install_requires,@*,*
20,docutils,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,tests_require,@*,*
21,mock,>=3.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,tests_require,@*,*
22,tensorflow-datasets,">1,<4",/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,tests_require,@*,*
23,tensorflow,>=2,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,extras_require,*@*,*
24,tensorflow-gpu,>=2,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/setup.py,extras_require,*@*,*
25,sphinxcontrib-katex,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/docs/requirements.txt,*,*@*,*
26,sphinx_rtd_theme,>=0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/docs/requirements.txt,*,*@*,*
27,sphinx-autodoc-typehints,>=1.10.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/docs/requirements.txt,*,*@*,*
28,sphinxcontrib-bibtex,">=0.4.2,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/docs/requirements.txt,*,*@*,*
29,sphinx,>=2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/sonnet/docs/requirements.txt,*,*@*,*
