,dep,version,filepath,type,condition,status
0,transformers,">=3.4.0,<4.32.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,*@*,*
1,torch,>=1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,*@*,*
2,spacy-alignments,">=0.7.2,<1.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,*@*,*
3,spacy,">=3.5.0,<4.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,*@*,*
4,types-contextvars,>=0.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,"*@ python_version < ""3.7""",*
5,cython,>=0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,*@*,*
6,mypy,">=0.990,<0.1000",/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,"*@ platform_machine!='aarch64' and python_version >= ""3.7""",*
7,dataclasses,">=0.6,<1.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,"*@ python_version < ""3.7""",*
8,pytest,>=5.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,*@*,*
9,types-dataclasses,>=0.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,"*@ python_version < ""3.7""",*
10,pytest-cov,">=2.7.0,<5.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,*@*,*
11,numpy,>=1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,*@*,*
12,srsly,">=2.4.0,<3.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/spacy-transformers/requirements.txt,*,*@*,*
