,dep,version,filepath,type,condition,status
0,setuptools,>=39.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/requirements.txt,*,*@*,*
1,numpy,>=1.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,install_requires,*@*,*
2,scipy,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,install_requires,*@*,*
3,networkx,>=2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,install_requires,*@*,*
4,scikit_learn,>=0.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,install_requires,*@*,*
5,matplotlib,>=2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,install_requires,*@*,*
6,pandas,>=0.24,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,install_requires,*@*,*
7,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
8,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
9,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
10,rdflib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
11,mplleaflet,==0.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
12,gensim,>=4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
13,python-igraph,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
14,py2neo,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
15,pytest,==5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
16,pytest-benchmark,>=3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
17,pytest-cov,>=2.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
18,coverage,">=4.4,<5.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
19,black,>=19.3b0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
20,nbconvert,>=5.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
21,treon,>=0.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
22,papermill,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
24,commonmark,==0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/setup.py,extras_require,*@*,*
25,readthedocs-sphinx-ext,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
26,sphinx-rtd-theme,==0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
27,commonmark,==0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
28,recommonmark,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
29,sphinx-markdown-tables,==0.0.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
30,sphinxcontrib-spelling,==5.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
31,docutils,==0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
32,sphinx,==3.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
33,ipython,==7.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
34,alabaster,==0.7.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
35,Pygments,==2.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
36,sphinx-notfound-page,==0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
37,setuptools,==46.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
38,pillow,==7.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
39,nbsphinx-link,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
40,mock,==4.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
41,nbsphinx,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/stellargraph/docs/requirements.txt,*,*@*,*
