,dep,version,filepath,type,condition,status
0,sympy,==1.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
1,typing-extensions,==4.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
2,thewalrus,==0.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
3,numpy,==1.21.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
4,scipy,==1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
5,tensorflow,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
6,requests,==2.27.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
7,tensorboard,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
8,toml,==0.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
9,urllib3,==1.26.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
10,quantum-xir,==0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
11,numba,==0.55.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
12,xanadu-cloud-client,==0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
13,python-dateutil,==2.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
14,plotly,==5.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
15,networkx,==2.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
16,quantum-blackbird,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements.txt,*,*@*,*
17,quantum-blackbird,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
18,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
19,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
20,urllib3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
21,sympy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
22,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
23,thewalrus,>=0.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
24,python-dateutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
25,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
26,plotly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
27,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
28,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
29,toml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
30,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-ci.txt,*,*@*,*
31,typing-extensions,==4.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-dev.txt,*,*@*,*
32,pytest-cov,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-dev.txt,*,*@*,*
33,black,==22.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-dev.txt,*,*@*,*
34,pytest-randomly,==3.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-dev.txt,*,*@*,*
35,pytest,==7.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-dev.txt,*,*@*,*
36,pytest-mock,==3.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/requirements-dev.txt,*,*@*,*
37,networkx,>=2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
38,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
39,numpy,>=1.17.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
40,python-dateutil,>=2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
41,quantum-blackbird,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
42,requests,>=2.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
43,scipy,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
44,sympy,>=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
45,thewalrus,>=0.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
46,toml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
47,urllib3,>=1.25.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
48,quantum-xir,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
49,xanadu-cloud-client,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/setup.py,install_requires,*@*,*
50,m2r2,==0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
51,numba,==0.53.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
52,tensorflow,==2.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
53,numpy,==1.19.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
54,scipy,==1.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
55,sphinx-automodapi,==0.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
56,sphinx-autodoc-typehints,==1.10.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
57,sphinxcontrib-bibtex,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
58,jinja2,==3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
59,protobuf,<4.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
60,thewalrus,==0.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
61,scikit-learn,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
62,plotly,==4.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
63,toml,==0.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
64,quantum-blackbird,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
65,xanadu-sphinx-theme,==0.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
66,sphinx-copybutton,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
67,docutils,==0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
68,mistune,==0.8.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
69,black,==19.10b0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
70,ipykernel,==6.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
71,sphinx,==2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
72,networkx,==2.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/strawberryfields/doc/requirements.txt,*,*@*,*
