,dep,version,filepath,type,condition,status
0,setuptools_scm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements-cs.txt,*,*@*,*
1,pika,>= 1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements-cs.txt,*,*@*,*
2,configparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements-cs.txt,*,*@*,*
3,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements-cs.txt,*,*@*,*
4,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements-cs.txt,*,*@*,*
5,filelock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements-cs.txt,*,*@*,*
6,pyhocon,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements-cs.txt,*,*@*,*
7,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements-cs.txt,*,*@*,*
8,PyYAML,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements-cs.txt,*,*@*,*
9,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements.txt,*,*@*,*
10,pytest_xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements.txt,*,*@*,*
11,pycodestyle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements.txt,*,*@*,*
12,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements.txt,*,*@*,*
13,certifi,==2022.12.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements.txt,*,*@*,*
14,timeout_decorator,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements.txt,*,*@*,*
15,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements.txt,*,*@*,*
16,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements-cs.txt,*,*@*,*
17,pytest_xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements-cs.txt,*,*@*,*
18,pycodestyle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements-cs.txt,*,*@*,*
19,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements-cs.txt,*,*@*,*
20,certifi,==2022.12.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements-cs.txt,*,*@*,*
21,timeout_decorator,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements-cs.txt,*,*@*,*
22,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/test_requirements-cs.txt,*,*@*,*
23,python_jwt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
24,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
25,openssh_key_parser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
26,google-api-python-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
27,google-auth-httplib2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
28,PyYAML,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
29,google-cloud-storage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
30,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
31,PyNaCl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
32,google-api-core,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
33,setuptools_scm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
34,pycryptodome,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
35,sseclient,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
36,requests_toolbelt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
37,filelock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
38,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
39,oauth2client,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
40,setuptools_scm_git_archive,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
41,cma,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
42,rsa,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
43,google-cloud-pubsub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
44,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
45,apscheduler,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
46,pika,>= 1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
47,configparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
48,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
49,sshpubkeys,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
50,pyhocon,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
51,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
52,terminaltables,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/requirements.txt,*,*@*,*
53,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/extra_example_requirements.txt,*,*@*,*
54,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/extra_example_requirements.txt,*,*@*,*
55,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/extra_example_requirements.txt,*,*@*,*
56,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/extra_example_requirements.txt,*,*@*,*
57,setuptools_scm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/setup.py,setup_requires,@*,*
58,setuptools_scm_git_archive,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/studio/setup.py,setup_requires,@*,*
