,dep,version,filepath,type,condition,status
0,mujoco-py,"<1.50.2,>=1.50.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
1,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
2,benedict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
3,robosuite,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
4,Cython,<0.29,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
5,tensorplex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
6,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
7,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
8,symphony,>=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
9,cloudwise,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
10,pygame,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
11,torchx,==0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
12,imageio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
13,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
14,nanolog,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
15,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
16,caraml,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/requirements.txt,*,*@*,*
17,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
18,robosuite,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
19,mujoco-py,"<1.50.2,>=1.50.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
20,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
21,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
22,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
23,imageio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
24,pygame,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
25,benedict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
26,nanolog,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
27,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
30,caraml,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
31,symphony,>=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
32,torchx,==0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
33,tensorplex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
34,cloudwise,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
35,Cython,<0.29,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/setup.py,install_requires,@*,*
36,mujoco-py,"<1.50.2,>=1.50.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
37,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
38,benedict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
39,robosuite,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
40,Cython,<0.29,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
41,tensorplex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
42,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
43,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
44,symphony,>=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
45,torchx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
46,cloudwise,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
47,pygame,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
48,imageio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
49,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
50,nanolog,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
51,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
52,caraml,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/surreal/docker/build_files/requirements.txt,*,*@*,*
