,dep,version,filepath,type,condition,status
0,lit,==16.0.5.post0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
1,packaging,==23.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
2,certifi,==2023.5.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
3,zipp,==3.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
4,google-auth,==2.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
5,requests-oauthlib,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
6,opt-einsum,==3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
7,six,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
8,charset-normalizer,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
9,grpcio,==1.54.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
10,idna,==3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
11,werkzeug,==2.3.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
12,protobuf,==4.23.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
13,google-auth-oauthlib,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
14,importlib-metadata,==6.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
15,requests,==2.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
16,portpicker,==1.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
17,rsa,==4.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
18,pyasn1,==0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
19,jax,==0.4.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
20,numpy,==1.24.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
21,h5py,==3.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
22,psutil,==5.9.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
23,cachetools,==5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
24,tf-estimator-nightly,==2.14.0.dev2023060108,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
25,tensorboard-data-server,==0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
26,ml-dtypes,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
27,markdown,==3.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
28,markupsafe,==2.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
29,absl-py,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
30,keras-nightly,==2.14.0.dev2023061207,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
31,setuptools,==67.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
32,wheel,==0.38.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
33,urllib3,==1.26.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
34,oauthlib,==3.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
35,scipy,==1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
36,pyasn1-modules,==0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
37,tb-nightly,==2.14.0a20230612,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_9.txt,*,*@*,*
38,lit,==16.0.5.post0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_11.txt,*,*@*,*
39,packaging,==23.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_11.txt,*,*@*,*
40,certifi,==2023.5.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_11.txt,*,*@*,*
41,google-auth,==2.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorflow-upstream/requirements_lock_3_11.txt,*,*@*,*
