,dep,version,filepath,type,condition,status
0,tensorflow,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements.txt,*,*@*,*
1,matplotlib,>= 3.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements.txt,*,*@*,*
2,numpy,~= 1.21.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements.txt,*,*@*,*
3,msgpack,>= 1.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements.txt,*,*@*,*
4,msgpack-numpy,>= 0.4.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements.txt,*,*@*,*
5,h5py,>= 3.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements.txt,*,*@*,*
6,gym,>= 0.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements.txt,*,*@*,*
7,Pillow,>= 9.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements.txt,*,*@*,*
8,tqdm,>= 4.62.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements.txt,*,*@*,*
9,ale-py,>= 0.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
10,matplotlib,>= 3.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
11,pytest,>= 6.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
12,box2d,>= 2.3.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
13,vizdoom,>= 1.1.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
14,tqdm,>= 4.62.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
15,recommonmark,>= 0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
16,tensorflow,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
17,msgpack-numpy,>= 0.4.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
18,gym,>= 0.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
19,Pillow,>= 9.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
20,numpy,~= 1.21.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
21,h5py,>= 3.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
22,hpbandster,>= 0.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
23,sphinx-rtd-theme,>= 1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
24,sphinx,>= 4.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
25,tensorflow-addons,>= 0.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
26,msgpack,>= 1.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
27,gym-retro,>= 0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorforce/requirements-all.txt,*,*@*,*
