,dep,version,filepath,type,condition,status
0,numpy,>=1.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,install_requires,@*,*
1,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,install_requires,@*,*
2,termcolor,>=1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,install_requires,@*,*
3,tabulate,>=0.7.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,install_requires,@*,*
4,tqdm,>4.29.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,install_requires,@*,*
5,msgpack,>=0.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,install_requires,@*,*
6,msgpack-numpy,>=0.4.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,install_requires,@*,*
7,pyzmq,>=16,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,install_requires,@*,*
8,psutil,>=5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,install_requires,@*,*
9,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,tests_require,@*,*
10,scikit-image,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,tests_require,@*,*
11,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,extras_require,@*,*
12,h5py,>=2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,extras_require,@*,*
13,lmdb,>=0.92,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,extras_require,@*,*
14,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,extras_require,@*,*
15,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,extras_require,@*,*
16,python-prctl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/setup.py,extras_require,@*,*
17,tensorflow,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
18,Sphinx,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
19,recommonmark,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
20,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
21,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
22,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
23,diskcache,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
24,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
25,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
26,docutils,==0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
27,termcolor,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tensorpack/docs/requirements.txt,*,*@*,*
