,dep,version,filepath,bloated,cve,affected versions,advisory
0,absl-py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,no one,no one,no one
1,babel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,CVE-2021-42771,<2.9.1,"Babel 2.9.1 includes a fix for CVE-2021-42771: Babel.Locale in Babel before 2.9.1 allows attackers to load arbitrary locale .dat files (containing serialized Python objects) via directory traversal, leading to code execution.
https://github.com/python-babel/babel/pull/782"
2,editdistance,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,no one,no one,no one
3,immutabledict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,no one,no one,no one
4,gin-config,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,no one,no one,no one
5,mesh-tensorflow,>=0.1.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,no one,no one,no one
6,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,PVE-2023-54914,<3.6,"Nltk 3.6 includes a fix for a REDoS vulnerability.
https://github.com/nltk/nltk/pull/2597"
7,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,CVE-2021-43854,<3.6.5,"Nltk 3.6.5 includes a fix for CVE-2021-43854: Versions prior to 3.6.5 are vulnerable to regular expression denial of service (ReDoS) attacks. The vulnerability is present in PunktSentenceTokenizer, sent_tokenize and word_tokenize. Any users of this class, or these two functions, are vulnerable to the ReDoS attack. In short, a specifically crafted long input to any of these vulnerable functions will cause them to take a significant amount of execution time. If your program relies on any of the vulnerable functions for tokenizing unpredictable user input, it's strongly recommended upgrading to a version of NLTK without the vulnerability. For users unable to upgrade the execution time can be bounded by limiting the maximum length of an input to any of the vulnerable functions.
https://github.com/nltk/nltk/security/advisories/GHSA-f8m6-h2c7-8h9x
https://github.com/nltk/nltk/issues/2866"
8,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,CVE-2019-14751,">=0,<3.4.5","NLTK Downloader before 3.4.5 is vulnerable to a directory traversal, allowing attackers to write arbitrary files via a (dot dot slash) in an NLTK package (ZIP archive) that is mishandled during extraction."
9,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,CVE-2021-3828,">=0,<3.6.4",Nltk before 3.6.4 is vulnerable to Inefficient Regular Expression Complexity.
10,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text-to-text-transfer-transformer/setup.py,False,CVE-2021-3842,">=0,<3.6.6",Nltk before 3.6.6 is vulnerable to Inefficient Regular Expression Complexity.
