,dep,version,filepath,bloated,cve,affected versions,advisory
0,codecov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2019-10800,<2.0.16,"Codecov 2.0.16 includes a fix for CVE-2019-10800: Remote code execution. The vulnerability exists due to improper sanitization of ""gcov"" arguments before being provided to the ""popen"" method. A remote authenticated attacker can execute arbitrary OS commands on the target system."
1,codecov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,PVE-2021-38075,<2.0.17,Codecov 2.0.17 fixes a reported command injection vulnerability.
2,spacy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,no one,no one,no one
3,sacremoses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,no one,no one,no one
4,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
5,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,no one,no one,no one
6,Sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2020-11023,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
7,Sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2020-11022,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
8,parameterized,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,no one,no one,no one
9,revtok,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,no one,no one,no one
10,defusedxml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2013-1664,<0.4,"The XML libraries for Python 3.4, 3.3, 3.2, 3.1, 2.7, and 2.6, as used in OpenStack Keystone Essex, Folsom, and Grizzly; Compute (Nova) Essex and Folsom; Cinder Folsom; Django; and possibly other products allow remote attackers to cause a denial of service (resource consumption and crash) via an XML Entity Expansion (XEE) attack."
11,defusedxml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2013-1665,<0.4,"The XML libraries for Python 3.4, 3.3, 3.2, 3.1, 2.7, and 2.6, as used in OpenStack Keystone Essex and Folsom, Django, and possibly other products allow remote attackers to read arbitrary files via an XML external entity declaration in conjunction with an entity reference, aka an XML External Entity (XXE) attack."
12,expecttest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,no one,no one,no one
13,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,no one,no one,no one
14,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2014-1830,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. This fixes CVE-2014-1830.
15,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2014-1829,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. See: CVE-2014-1829.
16,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2018-18074,<=2.19.1,"Requests before 2.20.0 sends an HTTP Authorization header to an http URI upon receiving a same-hostname https-to-http redirect, which makes it easier for remote attackers to discover credentials by sniffing the network."
17,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
18,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2023-32681,">=2.3.0,<2.31.0","Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use 'rebuild_proxies' to reattach the 'Proxy-Authorization' header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the 'Proxy-Authorization' header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

"
19,torchdata,>0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,no one,no one,no one
20,pytest-pythonpath,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,no one,no one,no one
21,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,PVE-2023-54914,<3.6,"Nltk 3.6 includes a fix for a REDoS vulnerability.
https://github.com/nltk/nltk/pull/2597"
22,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2021-43854,<3.6.5,"Nltk 3.6.5 includes a fix for CVE-2021-43854: Versions prior to 3.6.5 are vulnerable to regular expression denial of service (ReDoS) attacks. The vulnerability is present in PunktSentenceTokenizer, sent_tokenize and word_tokenize. Any users of this class, or these two functions, are vulnerable to the ReDoS attack. In short, a specifically crafted long input to any of these vulnerable functions will cause them to take a significant amount of execution time. If your program relies on any of the vulnerable functions for tokenizing unpredictable user input, it's strongly recommended upgrading to a version of NLTK without the vulnerability. For users unable to upgrade the execution time can be bounded by limiting the maximum length of an input to any of the vulnerable functions.
https://github.com/nltk/nltk/security/advisories/GHSA-f8m6-h2c7-8h9x
https://github.com/nltk/nltk/issues/2866"
23,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2019-14751,">=0,<3.4.5","NLTK Downloader before 3.4.5 is vulnerable to a directory traversal, allowing attackers to write arbitrary files via a (dot dot slash) in an NLTK package (ZIP archive) that is mishandled during extraction."
24,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2021-3828,">=0,<3.6.4",Nltk before 3.6.4 is vulnerable to Inefficient Regular Expression Complexity.
25,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/requirements.txt,False,CVE-2021-3842,">=0,<3.6.6",Nltk before 3.6.6 is vulnerable to Inefficient Regular Expression Complexity.
26,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
27,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2014-1830,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. This fixes CVE-2014-1830.
28,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2014-1829,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. See: CVE-2014-1829.
29,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2018-18074,<=2.19.1,"Requests before 2.20.0 sends an HTTP Authorization header to an http URI upon receiving a same-hostname https-to-http redirect, which makes it easier for remote attackers to discover credentials by sniffing the network."
30,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
31,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2023-32681,">=2.3.0,<2.31.0","Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use 'rebuild_proxies' to reattach the 'Proxy-Authorization' header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the 'Proxy-Authorization' header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

"
32,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
33,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
34,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
35,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
36,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
37,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
38,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2014-1859,<1.8.1,"Numpy 1.8.1 includes a fix for CVE-2014-1859: (1) core/tests/test_memmap.py, (2) core/tests/test_multiarray.py, (3) f2py/f2py2e.py, and (4) lib/tests/test_io.py in NumPy before 1.8.1 allow local users to write to arbitrary files via a symlink attack on a temporary file.
https://github.com/numpy/numpy/pull/4262"
39,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2014-1858,<1.8.1,"Numpy 1.8.1 includes a fix for CVE-2014-1858: __init__.py in f2py in NumPy before 1.8.1 allows local users to write to arbitrary files via a symlink attack on a temporary file.
https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15"
40,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
41,torchdata,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/setup.py,False,no one,no one,no one
42,Jinja2,<3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/docs/requirements.txt,False,CVE-2019-10906,">=0,<2.10.1","In Pallets Jinja before 2.10.1, str.format_map allows a sandbox escape."
43,Jinja2,<3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/docs/requirements.txt,False,CVE-2014-0012,">=0,<2.7.3","FileSystemBytecodeCache in Jinja2 2.7.2 does not properly create temporary directories, which allows local users to gain privileges by pre-creating a temporary directory with a user's uid.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2014-1402."
44,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/docs/requirements.txt,False,no one,no one,no one
45,pytorch_sphinx_theme,==cece053,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/docs/requirements.txt,False,no one,no one,no one
46,sphinx,==5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/docs/requirements.txt,False,no one,no one,no one
47,sphinx_gallery,==0.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/docs/requirements.txt,False,no one,no one,no one
48,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/text/docs/requirements.txt,False,no one,no one,no one
