,dep,version,filepath,type,condition,status
0,recommonmark,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
1,flake8-isort,==4.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
2,tensorflow,==2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
3,sphinx-rtd-theme,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
4,numpy,==1.22.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
5,black,==22.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
6,pytest,==7.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
7,flake8-mypy,==17.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
8,flake8,==5.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
9,isort,==5.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
10,pyyaml,==6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
11,sphinx,==5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
12,yapf,==0.32.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
13,flake8-docstrings,==1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
14,flake8-black,==0.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
15,pytest-xdist,==2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
16,tf2onnx,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/requirements.txt,*,*@*,*
17,tensorflow,>=2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/setup.py,install_requires,@*,*
18,numpy,>=1.22.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/setup.py,install_requires,@*,*
19,pyyaml,>=6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/setup.py,install_requires,@*,*
20,tf2onnx,>=1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/setup.py,install_requires,@*,*
22,numpy,>=1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/primitives/setup.py,install_requires,@*,*
23,tensorflow,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/primitives/setup.py,install_requires,@*,*
24,tf-big,>=0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-encrypted/primitives/setup.py,install_requires,@*,*
