,dep,version,filepath,bloated,cve,affected versions,advisory
0,attrs,>= 18.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/setup.py,False,no one,no one,no one
1,numpy,>= 1.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/setup.py,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
2,numpy,>= 1.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/setup.py,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
3,numpy,>= 1.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/setup.py,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
4,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/setup.py,False,CVE-2021-22570,<3.15.0,"Protobuf 3.15.0 includes a fix for CVE-2021-22570: Nullptr dereference when a null char is present in a proto symbol. The symbol is parsed incorrectly, leading to an unchecked call into the proto file's name during generation of the resulting error message. Since the symbol is incorrectly parsed, the file is nullptr."
5,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/setup.py,False,CVE-2022-1941,"<3.18.3,>=3.19.0rc0,<3.19.5,>=3.20.0rc0,<3.20.2,>=4.0.0rc0,<4.21.6","A parsing vulnerability for the MessageSet type in the ProtocolBuffers versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 3.21.5 for protobuf-cpp, and versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 4.21.5 for protobuf-python can lead to out of memory failures. A specially crafted message with multiple key-value per elements creates parsing issues, and can lead to a Denial of Service against services receiving unsanitized input. We recommend upgrading to versions 3.18.3, 3.19.5, 3.20.2, 3.21.6 for protobuf-cpp and 3.18.3, 3.19.5, 3.20.2, 4.21.6 for protobuf-python. Versions for 3.16 and 3.17 are no longer updated."
6,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/setup.py,False,CVE-2015-5237,<3.4.0,"Protobuf 3.4.0 includes a fix for CVE-2015-5237: Integer overflow in serialization.
https://github.com/protocolbuffers/protobuf/issues/760"
7,tensorflow-probability,>= 0.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/setup.py,False,no one,no one,no one
8,tff-nightly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/tf_quant_finance/examples/demos/option_pricing_basic/data_generator/requirements_nodeps.txt,False,no one,no one,no one
9,attrs,>= 18.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tf-quant-finance/tf_quant_finance/examples/demos/option_pricing_basic/data_generator/requirements.txt,False,no one,no one,no one
