,dep,version,filepath,type,condition,status
0,tensorflow,">=2.1.0, <3",/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-inference/python/requirements.txt,*,*@*,*
1,pylint,==2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,"*@ python_version > ""3.0"" \",*
2,requests,==2.28.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
3,prompt-toolkit,==1.0.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
4,fonttools,==4.38.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
5,pyinquirer,==1.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
6,wheel,==0.38.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
7,gast,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
8,isort,==4.3.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
9,opt-einsum,==3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
10,tensorboard-data-server,==0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
11,numpy,==1.23.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
12,oauthlib,==3.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
13,pygments,==2.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
14,tensorboard,==2.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
15,cachetools,==5.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
16,pytz,==2022.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
17,tensorflow-estimator,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
18,google-auth-oauthlib,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
19,flatbuffers,==22.12.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
20,pyasn1,==0.4.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
21,python-dateutil,==2.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
22,jax,==0.3.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
23,werkzeug,==2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
24,rich,==12.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
25,toolz,==0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
26,tensorflow-decision-forests,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
27,zipp,==3.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
28,jaxlib,==0.3.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
29,tensorflow-io-gcs-filesystem,==0.28.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
30,termcolor,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
31,debugpy,==1.6.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
32,regex,==2022.10.31,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
33,matplotlib,==3.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
34,grpcio,==1.51.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
35,importlib-metadata,==5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
36,chex,==0.1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
37,pyparsing,==3.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
38,markdown,==3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
39,h5py,==3.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
40,tensorflow-hub,==0.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,"*@ python_version >= ""3"" \",*
41,mccabe,==0.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
42,cycler,==0.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
43,google-pasta,==0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
44,pandas,==1.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
45,protobuf,==4.22.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
46,certifi,==2022.12.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
47,google-auth,==2.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
48,commonmark,==0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
49,pyyaml,==6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
50,msgpack,==1.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
51,astroid,==2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
52,absl-py,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
53,optax,==0.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
54,toml,==0.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
55,libclang,==14.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
56,typing-extensions,==4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
57,kiwisolver,==1.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
58,dm-tree,==0.1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
59,scipy,==1.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
60,rsa,==4.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
61,tensorflow,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
62,importlib-resources,==5.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
63,charset-normalizer,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
64,contourpy,==1.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
65,flax,==0.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
66,wurlitzer,==3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
67,packaging,==20.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
68,pillow,==9.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
69,pyasn1-modules,==0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
70,astunparse,==1.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
71,lazy-object-proxy,==1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
72,wrapt,==1.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
73,keras,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
74,markupsafe,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
75,wcwidth,==0.2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
76,urllib3,==1.26.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
77,requests-oauthlib,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
78,tensorboard-plugin-wit,==1.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
79,setuptools,==65.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
80,idna,==3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
81,tensorstore,==0.1.28,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
82,six,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements-dev_lock.txt,*,*@*,*
83,packaging,~=20.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements.txt,*,*@*,*
84,tensorflow-decision-forests,>=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements.txt,*,*@*,*
85,jax,>=0.3.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements.txt,*,*@*,*
86,importlib_resources,>=5.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements.txt,*,*@*,*
87,tensorflow,">=2.12.0,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements.txt,*,*@*,*
88,flax,">=0.6.2,<0.6.3",/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements.txt,*,*@*,*
89,tensorflow-hub,>=0.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements.txt,*,"*@ python_version >= ""3""",*
90,six,">=1.12.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements.txt,*,*@*,*
91,PyInquirer,==1.0.3: wizard,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/extra-requirements.txt,*,*@*,*
92,markdown,==3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tfjs/tfjs-converter/python/requirements_lock.txt,*,*@*,*
