,dep,version,filepath,type,condition,status
0,gymnasium,>=0.26.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,install_requires,*@*,*
1,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,install_requires,*@*,*
2,numpy,>1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,install_requires,*@*,*
3,tensorboard,>=2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,install_requires,*@*,*
4,torch,>=1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,install_requires,*@*,*
5,numba,>=0.51.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,install_requires,*@*,*
6,h5py,>=2.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,install_requires,*@*,*
7,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,install_requires,*@*,*
8,pettingzoo,>=1.22,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,install_requires,*@*,*
18,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
19,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
20,jinja2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
21,sphinxcontrib-bibtex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
22,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
23,flake8-bugbear,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
24,yapf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
25,isort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
26,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
27,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
28,ray,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
29,wandb,>=0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
30,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
31,mypy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
32,pydocstyle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
33,doc8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
34,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
35,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
36,pygame,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
37,pymunk,>=6.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
38,nni,">=2.3,<3.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
39,pytorch_lightning,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
40,gym,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
41,shimmy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
42,atari_py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
43,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
44,mujoco_py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
45,pybullet,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/setup.py,extras_require,*@*,*
55,numpy,>=1.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
56,pettingzoo,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
57,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
58,sphinx_rtd_theme,>=0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
59,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
60,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
61,gym,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
62,tensorboard,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
63,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
64,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
65,sphinxcontrib-bibtex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tianshou/docs/requirements.txt,*,*@*,*
