,dep,version,filepath,type,condition,status
0,google-auth-oauthlib,==0.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
1,psutil,==5.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""2.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0""",*
2,ipython,==7.28.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
3,pyasn1,==0.4.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6"" and python_full_version < ""3.0.0"" and python_version < ""4"" and (python_version >= ""3.6"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.6"") or python_full_version >= ""3.6.0"" and python_version >= ""3.6"" and python_version < ""4"" and (python_version >= ""3.6"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.6"")",*
4,idna,==3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.5"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.5""",*
5,pytorch-metric-learning,==0.9.99,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.0""",*
6,addict,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,*@*,*
7,cycler,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
8,requests,==2.26.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.6""",*
9,jedi,==0.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
10,torch-points-kernels,==0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,*@*,*
11,numpy,==1.19.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
12,werkzeug,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
13,docker-pycreds,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""2.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0""",*
14,ipykernel,==6.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
15,pytz,==2021.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_full_version >= ""3.6.1""",*
16,attrs,==21.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.5"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.5.0"" and python_version >= ""3.5""",*
17,testpath,==0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
18,nbclient,==0.5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_full_version >= ""3.6.1"" and python_version >= ""3.7""",*
19,widgetsnbextension,==3.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,*@*,*
20,networkx,==2.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
21,omegaconf,==2.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
22,pyparsing,==2.4.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.3.0"" and python_version >= ""3.7""",*
23,imageio,==2.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
24,tensorboard-data-server,==0.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
25,pywavelets,==1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
26,notebook,==6.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
27,charset-normalizer,==2.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_full_version >= ""3.6.0"" and python_version >= ""3""",*
28,scipy,==1.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
29,torch-sparse,==0.6.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
30,pandas,==1.1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_full_version >= ""3.6.1"" and python_version >= ""3.6""",*
31,matplotlib,==3.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
32,webencodings,==0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
33,ptyprocess,==0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ os_name != ""nt"" and python_version >= ""3.7"" and sys_platform != ""win32""",*
34,parso,==0.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.7""",*
35,torchvision,==0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.0""",*
36,google-auth,==1.35.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.6.0"" and python_version >= ""3.6""",*
37,filelock,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""2.7"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.5.0""",*
38,typing-extensions,==3.10.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_full_version >= ""3.6.2"" and python_version >= ""3.6"" and (python_version >= ""3.7"" and python_full_version < ""3.0.0"" and python_version < ""3.10"" or python_full_version >= ""3.4.0"" and python_version >= ""3.7"" and python_version < ""3.10"") and (python_version >= ""3.6"" and python_full_version < ""3.0.0"" and python_version < ""3.8"" or python_full_version >= ""3.4.0"" and python_version >= ""3.6"" and python_version < ""3.8"")",*
39,terminado,==0.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
40,send2trash,==1.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
41,websocket-client,==1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6""",*
42,py,==1.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6"" and python_full_version < ""3.0.0"" and implementation_name == ""pypy"" or implementation_name == ""pypy"" and python_version >= ""3.6"" and python_full_version >= ""3.4.0""",*
43,requests-oauthlib,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torch-points3d/requirements.txt,*,"*@ python_version >= ""3.6"" and python_full_version < ""3.0.0"" or python_full_version >= ""3.4.0"" and python_version >= ""3.6""",*
