,dep,version,filepath,type,condition,status
0,torch,>=1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/setup.py,install_requires,@*,*
1,pytest-runner,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/setup.py,setup_requires,@*,*
2,pytest,>=4,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/setup.py,tests_require,@*,*
3,torch,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/amoebanetd-speed/requirements.txt,*,*@*,*
4,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/amoebanetd-speed/requirements.txt,*,*@*,*
5,torch,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/unet-timeline/requirements.txt,*,*@*,*
6,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/unet-timeline/requirements.txt,*,*@*,*
7,torch,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/unet-memory/requirements.txt,*,*@*,*
8,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/unet-memory/requirements.txt,*,*@*,*
9,torch,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/resnet101-speed/requirements.txt,*,*@*,*
10,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/resnet101-speed/requirements.txt,*,*@*,*
11,torch,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/unet-speed/requirements.txt,*,*@*,*
12,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/unet-speed/requirements.txt,*,*@*,*
13,torch,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/resnet101-accuracy/requirements.txt,*,*@*,*
14,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/resnet101-accuracy/requirements.txt,*,*@*,*
15,torch,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/amoebanetd-memory/requirements.txt,*,*@*,*
16,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/benchmarks/amoebanetd-memory/requirements.txt,*,*@*,*
17,sphinx,>=2.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchgpipe/docs/requirements.txt,*,*@*,*
