,dep,version,filepath,type,condition,status
0,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,*,*@*,*
1,scikit-image,>=0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,*,*@*,*
2,tqdm,>=4,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,*,*@*,*
3,torch,>=1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,*,*@*,*
4,pandas,>=1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,*,*@*,*
5,requests,>=1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,*,*@*,*
6,numpy,>=1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,*,*@*,*
7,torchvision,>=0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,*,*@*,*
8,imageio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,*,*@*,*
9,pydicom,>=2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements-dev.txt,*,*@*,*
10,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements-dev.txt,*,*@*,*
11,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/docs/requirements.txt,*,*@*,*
