,dep,version,filepath,bloated,cve,affected versions,advisory
0,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2014-3589,"<2.3.2,>=2.5.0,<2.5.2","Pillow versions 2.3.2 and 2.5.2 include a fix for CVE-2014-3589: PIL/IcnsImagePlugin.py in Python Imaging Library (PIL) and Pillow before 2.3.2 and 2.5.x before 2.5.2 allows remote attackers to cause a denial of service via a crafted block size.
https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d"
1,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2019-16865,<6.2.0,"Pillow 6.2.0 includes a fix for CVE-2019-16865: An issue was discovered in Pillow before 6.2.0. When reading specially crafted invalid image files, the library can either allocate very large amounts of memory or take an extremely long period of time to process the image."
2,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-5310,<6.2.2,"libImaging/TiffDecode.c in Pillow before 6.2.2 has a TIFF decoding integer overflow, related to realloc."
3,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-5311,<6.2.2,libImaging/SgiRleDecode.c in Pillow before 6.2.2 has an SGI buffer overflow.
4,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-5313,<6.2.2,libImaging/FliDecode.c in Pillow before 6.2.2 has an FLI buffer overflow.
5,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-5312,<6.2.2,libImaging/PcxDecode.c in Pillow before 6.2.2 has a PCX P mode buffer overflow.
6,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2019-19911,<6.2.2,"There is a DoS vulnerability in Pillow before 6.2.2 caused by FpxImagePlugin.py calling the range function on an unvalidated 32-bit integer if the number of bands is large. On Windows running 32-bit Python, this results in an OverflowError or MemoryError due to the 2 GB limit. However, on Linux running 64-bit Python this results in the process being terminated by the OOM killer."
7,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-10177,<7.1.0,Pillow before 7.1.0 has multiple out-of-bounds reads in libImaging/FliDecode.c.
8,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-10994,<7.1.0,"In libImaging/Jpeg2KDecode.c in Pillow before 7.1.0, there are multiple out-of-bounds reads via a crafted JP2 file."
9,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-10379,<7.1.0,"In Pillow before 7.1.0, there are two Buffer Overflows in libImaging/TiffDecode.c."
10,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-10378,<7.1.0,"In libImaging/PcxDecode.c in Pillow before 7.1.0, an out-of-bounds read can occur when reading PCX files where state->shuffle is instructed to read beyond state->buffer."
11,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-15999,<8.0.1,Pillow 8.0.1 updates 'FreeType' used in binary wheels to v2.10.4 to include a security fix.
12,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-35654,<8.1.0,Pillow 8.1.0 fixes TIFF OOB Write error. CVE-2020-35654 #5175.
13,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-35653,<8.1.0,"In Pillow before 8.1.0, PcxDecode has a buffer over-read when decoding a crafted PCX file because the user-supplied stride value is trusted for buffer calculations."
14,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2020-35655,<8.1.0,Pillow 8.1.0 includes a fix for SGI Decode buffer overrun. CVE-2020-35655 #5173.
15,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2021-25289,<8.1.1,"Pillow 8.1.1 includes a fix for CVE-2021-25289: TiffDecode has a heap-based buffer overflow when decoding crafted YCbCr files because of certain interpretation conflicts with LibTIFF in RGBA mode. NOTE: this issue exists because of an incomplete fix for CVE-2020-35654.
https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html"
16,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2021-25290,<8.1.1,"Pillow 8.1.1 includes a fix for CVE-2021-25290: In TiffDecode.c, there is a negative-offset memcpy with an invalid size.
https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html"
17,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2021-27922,<8.1.1,"Pillow 8.1.1 includes a fix for CVE-2021-27922: Pillow before 8.1.1 allows attackers to cause a denial of service (memory consumption) because the reported size of a contained image is not properly checked for an ICNS container, and thus an attempted memory allocation can be very large.
https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html"
18,pillow,>=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/torchxrayvision/requirements.txt,False,CVE-2021-25291,<8.1.1,"Pillow 8.1.1 includes a fix for CVE-2021-25291: In TiffDecode.c, there is an out-of-bounds read in TiffreadRGBATile via invalid tile boundaries.
https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html"
