,dep,version,filepath,type,condition,status
0,deap,>=1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
1,imbalanced-learn,>=0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
2,stopit,>=1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
3,pandas,>=0.24.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
4,scikit-learn,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
5,joblib,>=0.13.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
6,numpy,>=1.16.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
7,nose,==1.3.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
8,xgboost,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
9,scipy,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
10,update-checker,>=0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
11,tqdm,>=4.36.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/requirements.txt,*,*@*,*
12,skrebate,==0.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/optional-requirements.txt,*,*@*,*
13,torch,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/optional-requirements.txt,*,*@*,*
14,scikit-mdr,==0.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/optional-requirements.txt,*,*@*,*
15,numpy,>=1.16.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
16,scipy,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
17,scikit-learn,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
18,deap,>=1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
19,update_checker,>=0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
20,tqdm,>=4.36.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
21,stopit,>=1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
22,pandas,>=0.24.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
23,joblib,>=0.13.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
24,xgboost,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,install_requires,@*,*
25,skrebate,>=0.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,extras_require,@*,*
26,scikit-mdr,>=0.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,extras_require,@*,*
27,dask,>=0.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,extras_require,@*,*
28,distributed,>=1.22.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,extras_require,@*,*
29,dask-ml,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,extras_require,@*,*
30,torch,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,extras_require,@*,*
31,imbalanced-learn,>=0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tpot/setup.py,extras_require,@*,*
