,dep,version,filepath,type,condition,status
0,setuptools_rust,==1.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements.txt,*,*@*,*
1,toml,==0.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements.txt,*,*@*,*
2,setuptools,==65.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements.txt,*,*@*,*
3,numpy,==1.24.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements.txt,*,*@*,*
4,mkdocstrings,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,*,*@*,*
5,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,*,*@*,*
6,mike,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,*,*@*,*
7,mkdocs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,*,*@*,*
8,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/setup.py,install_requires,@*,*
9,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/setup.py,extras_require,@*,*
10,numpy,==1.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/linalg/cost_model/train/requirements.txt,*,*@*,*
11,torch,==1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/linalg/cost_model/train/requirements.txt,*,*@*,*
12,torchvision,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/examples/pytorch-resnet/requirements.txt,*,*@*,*
13,torch,==1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/examples/pytorch-resnet/requirements.txt,*,*@*,*
