,dep,version,filepath,bloated,cve,affected versions,advisory
0,setuptools_rust,==1.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements.txt,False,no one,no one,no one
1,toml,==0.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements.txt,False,no one,no one,no one
2,setuptools,==65.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements.txt,False,no one,no one,no one
3,numpy,==1.24.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements.txt,False,no one,no one,no one
4,mkdocstrings,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,no one,no one,no one
5,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,PVE-2021-32121,<1.0.0,mkdocs-material before 1.0.0 uses _blank targets on links which make it vulnerable to Cross Site Scripting attacks.
6,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,PVE-2022-44813,<5.0.0,Mkdocs-material 5.0.0 updates its NPM dependency 'acorn' to v6.4.1 to include a security fix.
7,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,CVE-2020-8203,<5.5.0,Mkdocs-material 5.5.0 updates its dependency 'lodash' to v4.17.19 to include a security fix.
8,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,CVE-2020-7788,<6.2.0,Mkdocs-material 6.2.0 updates its dependency 'ini' to v1.3.7 to include a security fix.
9,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,PVE-2021-39706,<7.0.6,Mkdocs-material 7.0.6 improves the security of the Docker image.
10,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,CVE-2021-23364,<7.1.6,Mkdocs-material 7.1.6 updates its dependency 'browserslist' to v4.16.6 to include a security fix.
11,mike,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,no one,no one,no one
12,mkdocs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,PVE-2022-47794,<1.3.0,"Mkdocs 1.3.0 fixes an XSS vulnerability which was present when using the search function in built-in themes.
https://github.com/mkdocs/mkdocs/commit/5cf196361bb0f8364f667ed98888ffa064982efa"
13,mkdocs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/requirements-docs.txt,False,CVE-2021-40978,">=0,<1.2.3","The mkdocs 1.2.2 built-in dev-server allows directory traversal using the port 8000, enabling remote exploitation to obtain :sensitive information."
14,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/setup.py,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
15,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tract/ffi/py/setup.py,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
