,dep,version,filepath,type,condition,status
0,python-telegram-bot,>=10.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,*,*@*,*
1,tensorboard,>=2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,*,*@*,*
2,slackclient,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,*,*@*,*
3,umap-learn,>=0.3.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,*,*@*,*
4,scikit-learn,>=0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,*,*@*,*
5,torchvision,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,*,*@*,*
6,torch,>=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,*,*@*,*
7,scipy,>=0.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
8,seaborn,>=0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
9,portalocker,>=1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
10,matplotlib,>=3.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
11,Flask,>=0.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
12,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
13,visdom,>=0.1.8.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
14,numpy,>=1.14.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
15,pathos,>=0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
16,graphviz,>=0.8.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
17,imageio,>=2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
18,plotly,>=2.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
19,colorlover,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,*,*@*,*
20,python-telegram-bot,>=10.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/setup.py,install_requires,*@*,*
21,tensorboard,>=2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/setup.py,install_requires,*@*,*
22,slackclient,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/setup.py,install_requires,*@*,*
23,umap-learn,>=0.3.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/setup.py,install_requires,*@*,*
24,scikit-learn,>=0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/setup.py,install_requires,*@*,*
25,torchvision,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/setup.py,install_requires,*@*,*
26,torch,>=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/setup.py,install_requires,*@*,*
