,dep,version,filepath,bloated,cve,affected versions,advisory
0,python-telegram-bot,>=10.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,False,no one,no one,no one
1,tensorboard,>=2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,False,no one,no one,no one
2,slackclient,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,False,no one,no one,no one
3,umap-learn,>=0.3.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,False,no one,no one,no one
4,scikit-learn,>=0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,False,PVE-2022-52255,<0.24.2,"Scikit-learn 0.24.2 includes a fix for a ReDoS vulnerability.
https://github.com/scikit-learn/scikit-learn/issues/19522"
5,scikit-learn,>=0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,False,CVE-2020-13092,">=0,<0.23.1","** DISPUTED ** scikit-learn (aka sklearn) through 0.23.0 can unserialize and execute commands from an untrusted file that is passed to the joblib.load() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the joblib.load() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
6,scikit-learn,>=0.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,False,CVE-2020-28975,">=0,<0.24.dev0","** DISPUTED ** svm_predict_values in svm.cpp in Libsvm v324, as used in scikit-learn 0.23.2 and other products, allows attackers to cause a denial of service (segmentation fault) via a crafted model SVM (introduced via pickle, json, or any other model permanence standard) with a large value in the _n_support array. NOTE: the scikit-learn vendor's position is that the behavior can only occur if the library's API is violated by an application that changes a private attribute."
7,torchvision,>=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,False,no one,no one,no one
8,torch,>=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements_full.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
9,scipy,>=0.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2013-4251,">=0,<0.12.1",The scipy.weave component in SciPy before 0.12.1 creates insecure temporary directories.
10,seaborn,>=0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,no one,no one,no one
11,portalocker,>=1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,no one,no one,no one
12,matplotlib,>=3.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,no one,no one,no one
13,Flask,>=0.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2019-1010083,<0.12.3,"Flask 0.12.3 includes a fix for CVE-2019-1010083: Unexpected memory usage. The impact is denial of service. The attack vector is crafted encoded JSON data. NOTE: this may overlap CVE-2018-1000656.
https://github.com/pallets/flask/pull/2695/commits/0e1e9a04aaf29ab78f721cfc79ac2a691f6e3929"
14,Flask,>=0.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2018-1000656,<0.12.3,flask version Before 0.12.3 contains a CWE-20: Improper Input Validation vulnerability in flask that can result in Large amount of memory usage possibly leading to denial of service. This attack appear to be exploitable via Attacker provides JSON data in incorrect encoding. This vulnerability appears to have been fixed in 0.12.3.
15,Flask,>=0.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2023-30861,"<2.2.5,>=2.3.0,<2.3.2","Flask is a lightweight WSGI web application framework. When all of the following conditions are met, a response containing data intended for one client may be cached and subsequently sent by the proxy to other clients. If the proxy also caches 'Set-Cookie' headers, it may send one client's 'session' cookie to other clients. The severity depends on the application's use of the session and the proxy's behavior regarding cookies. The risk depends on all these conditions being met.

1. The application must be hosted behind a caching proxy that does not strip cookies or ignore responses with cookies.
2. The application sets 'session.permanent = True'
3. The application does not access or modify the session at any point during a request.
4. 'SESSION_REFRESH_EACH_REQUEST' enabled (the default).
5. The application does not set a 'Cache-Control' header to indicate that a page is private or should not be cached.

This happens because vulnerable versions of Flask only set the 'Vary: Cookie' header when the session is accessed or modified, not when it is refreshed (re-sent to update the expiration) without being accessed or modified. This issue has been fixed in versions 2.3.2 and 2.2.5."
16,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2014-3589,"<2.3.2,>=2.5.0,<2.5.2","Pillow versions 2.3.2 and 2.5.2 include a fix for CVE-2014-3589: PIL/IcnsImagePlugin.py in Python Imaging Library (PIL) and Pillow before 2.3.2 and 2.5.x before 2.5.2 allows remote attackers to cause a denial of service via a crafted block size.
https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d"
17,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2019-16865,<6.2.0,"Pillow 6.2.0 includes a fix for CVE-2019-16865: An issue was discovered in Pillow before 6.2.0. When reading specially crafted invalid image files, the library can either allocate very large amounts of memory or take an extremely long period of time to process the image."
18,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2020-5310,<6.2.2,"libImaging/TiffDecode.c in Pillow before 6.2.2 has a TIFF decoding integer overflow, related to realloc."
19,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2020-5311,<6.2.2,libImaging/SgiRleDecode.c in Pillow before 6.2.2 has an SGI buffer overflow.
20,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2020-5313,<6.2.2,libImaging/FliDecode.c in Pillow before 6.2.2 has an FLI buffer overflow.
21,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2020-5312,<6.2.2,libImaging/PcxDecode.c in Pillow before 6.2.2 has a PCX P mode buffer overflow.
22,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2019-19911,<6.2.2,"There is a DoS vulnerability in Pillow before 6.2.2 caused by FpxImagePlugin.py calling the range function on an unvalidated 32-bit integer if the number of bands is large. On Windows running 32-bit Python, this results in an OverflowError or MemoryError due to the 2 GB limit. However, on Linux running 64-bit Python this results in the process being terminated by the OOM killer."
23,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2020-10177,<7.1.0,Pillow before 7.1.0 has multiple out-of-bounds reads in libImaging/FliDecode.c.
24,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2020-10994,<7.1.0,"In libImaging/Jpeg2KDecode.c in Pillow before 7.1.0, there are multiple out-of-bounds reads via a crafted JP2 file."
25,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2020-10379,<7.1.0,"In Pillow before 7.1.0, there are two Buffer Overflows in libImaging/TiffDecode.c."
26,Pillow,>=5.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/trixi/requirements.txt,False,CVE-2020-10378,<7.1.0,"In libImaging/PcxDecode.c in Pillow before 7.1.0, an out-of-bounds read can occur when reading PCX files where state->shuffle is instructed to read beyond state->buffer."
