,dep,version,filepath,type,condition,status
0,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements.txt,*,*@*,*
1,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements.txt,*,*@*,*
2,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements.txt,*,*@*,*
3,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements.txt,*,*@*,*
4,tensorflow,>=2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements.txt,*,*@*,*
5,cesium,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements.txt,*,*@*,*
6,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements.txt,*,*@*,*
7,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements.txt,*,*@*,*
8,joblib,>=0.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements.txt,*,*@*,*
9,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_build.txt,*,*@*,*
10,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_build.txt,*,*@*,*
11,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_build.txt,*,*@*,*
12,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_build.txt,*,*@*,*
13,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_build.txt,*,*@*,*
14,joblib,>=0.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_build.txt,*,*@*,*
15,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_nocast.txt,*,*@*,*
16,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_nocast.txt,*,*@*,*
17,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_nocast.txt,*,*@*,*
18,tensorflow,>=2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_nocast.txt,*,*@*,*
19,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_nocast.txt,*,*@*,*
20,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_nocast.txt,*,*@*,*
21,joblib,>=0.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/requirements_nocast.txt,*,*@*,*
22,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/setup.py,install_requires,@*,*
23,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/setup.py,install_requires,@*,*
24,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/setup.py,install_requires,@*,*
25,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/setup.py,install_requires,@*,*
26,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/setup.py,install_requires,@*,*
27,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/setup.py,extras_require,@*,*
28,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/setup.py,extras_require,@*,*
30,sphinx-gallery,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
31,nbsphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
32,Pygments,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
33,ipykernel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
34,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
35,numpydoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
36,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
37,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
38,sphinx_bootstrap_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
39,Cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
40,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
41,sphinx,>=1.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
42,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
43,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
44,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
45,tensorflow,>=2,/home/daniele/git/NICHE_projects/Repo/Cloneables/tslearn/docs/requirements_rtd.txt,*,*@*,*
