,dep,version,filepath,type,condition,status
0,scikit-learn,==0.20.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version < '3.8',*
1,resampy,==0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version < '3.9',*
2,llvmlite,==0.36.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version == '3.9',*
3,statsmodels,==0.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version == '3.9',*
4,llvmlite,==0.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version < '3.6',*
5,coremltools,==5.0b2,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@*,*
6,statsmodels,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version < '3.8',*
7,statsmodels,==0.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version == '3.8',*
8,tensorflow,==2.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ sys_platform == 'darwin' and python_version != '2.7' and python_version != '3.8' and python_version != '3.9',*
9,scipy,==1.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version == '3.8',*
10,scipy,==1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version < '3.8',*
11,llvmlite,==0.33.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version >= '3.6' and python_version < '3.9',*
12,pre-commit,>=1.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@*,*
13,scikit-learn,==0.23.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version == '3.8',*
14,scipy,==1.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version == '3.9',*
15,scikit-learn,==0.24.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@ python_version == '3.9',*
16,UISoup,==2.5.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements.txt,*,*@*,*
17,pytz,==2019.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/turicreate/scripts/requirements-minimal.txt,*,*@*,*
