,dep,version,filepath,type,condition,status
0,matplotlib,==3.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
1,pyparsing,==3.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
2,six,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
3,gradescope-utils,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
4,beautifulsoup4,==4.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
5,mpld3,==0.5.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
6,yapf,==0.31.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
7,certifi,==2021.10.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
8,jinja2,==3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
9,snowballstemmer,==2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
10,pandas,==1.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
11,pycodestyle,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
12,protobuf,==3.19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
13,pytz,==2021.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
14,python-dateutil,==2.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
15,numpy,==1.21.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
16,kiwisolver,==1.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
17,mysql-connector-python,==8.0.27,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
18,requests,==2.27.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
19,cycler,==0.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
20,timeout-decorator,==0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
21,charset-normalizer,==2.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
22,scipy,==1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
23,markupsafe,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
24,urllib3,==1.26.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
25,soupsieve,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
26,pydocstyle,==6.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
27,idna,==3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
28,lxml,==4.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/focal-requirements.txt,*,*@*,*
29,chardet,==4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/mac-requirements.txt,*,*@*,*
30,cycler,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/mac-requirements.txt,*,*@*,*
31,pickleshare,==0.7.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/mac-requirements.txt,*,*@*,*
32,black,==23.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/mac-requirements.txt,*,*@*,*
33,soupsieve,==2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/underactuated/mac-requirements.txt,*,*@*,*
