,dep,version,filepath,type,condition,status
0,tf2crf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/requirements.txt,*,*@*,*
1,absl-py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/requirements.txt,*,*@*,*
2,tensorflow-datasets,~=4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/requirements.txt,*,*@*,*
3,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/requirements.txt,*,*@*,*
4,Click,~=7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/requirements.txt,*,*@*,*
5,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/requirements.txt,*,*@*,*
6,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/dev-requirements.txt,*,*@*,*
7,keyring,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/dev-requirements.txt,*,*@*,*
8,codecov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/dev-requirements.txt,*,*@*,*
9,wheel,~=0.35,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/dev-requirements.txt,*,*@*,*
10,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/dev-requirements.txt,*,*@*,*
11,Sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/dev-requirements.txt,*,*@*,*
12,pytest,~=6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/dev-requirements.txt,*,*@*,*
13,pytest-pylint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/dev-requirements.txt,*,*@*,*
14,tensorflow,~=2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/setup.py,extras_require,@*,*
15,tensorflow-gpu,~=2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/setup.py,extras_require,@*,*
16,tf2crf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/docs/rtd-requirements.txt,*,*@*,*
17,tensorflow,~=2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/docs/rtd-requirements.txt,*,*@*,*
18,Click,~=7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/docs/rtd-requirements.txt,*,*@*,*
19,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/docs/rtd-requirements.txt,*,*@*,*
20,tensorflow-datasets,~=3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/urduhack/docs/rtd-requirements.txt,*,*@*,*
