,dep,version,filepath,type,condition,status
0,msgpack,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
1,tensorflow,==2.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
2,jsonlines,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
3,python-prctl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
4,lmdb,==0.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
5,numpy,==1.16.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
6,json-lines,==0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
7,msgpack-numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
8,easydict,==1.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
9,opencv-python,==4.2.0.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
10,tensorpack,==0.9.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
11,pytorch-transformers,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
12,PyYAML,==5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
13,tqdm,==4.31.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
14,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
15,Cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
16,tensorboardX,==1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/vilbert-multi-task/requirements.txt,*,*@*,*
