,dep,version,filepath,type,condition,status
0,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
1,mwparserfromhell,==0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
2,Cython,==0.28,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
3,numpy,==1.14.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
4,scipy,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
5,six,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
6,tqdm,==4.19.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
7,joblib,==0.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
8,jieba,==0.39,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
9,marisa-trie,==0.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/requirements.txt,*,*@*,*
10,click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
11,jieba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
12,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
13,lmdb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
14,marisa-trie,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
15,mwparserfromhell,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
16,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
17,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
18,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
19,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,install_requires,@*,*
21,nose,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/setup.py,tests_require,@*,*
22,click,==7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
23,marisa-trie,==0.7.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
24,numpy,==1.17.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
25,lmdb,==0.97,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
26,tqdm,==4.35.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
27,torch,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
28,wikipedia2vec,==1.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
29,soupsieve,==1.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
30,six,==1.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
31,jieba,==0.39,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
32,mwparserfromhell,==0.5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
33,scikit-learn,==0.21.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
34,scipy,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
35,beautifulsoup4,==4.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
36,joblib,==0.13.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/wikipedia2vec/examples/text_classification/requirements.txt,*,*@*,*
