,dep,version,filepath,type,condition,status
0,mxnet,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/leap/setup.py,install_requires,*@*,*
1,numpy,>=1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/leap/setup.py,install_requires,*@*,*
2,scikit-learn,>=0.19.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/leap/setup.py,install_requires,*@*,*
3,matplotlib,>=2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/leap/setup.py,install_requires,*@*,*
4,tornado,<6,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/test_requirements.txt,*,*@*,*
5,pytest-cov,==2.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/test_requirements.txt,*,*@*,*
6,jupyter_client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/test_requirements.txt,*,*@*,*
7,nbformat,==4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/test_requirements.txt,*,*@*,*
8,pytest,==3.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/test_requirements.txt,*,*@*,*
9,flake8,==3.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/test_requirements.txt,*,*@*,*
10,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/test_requirements.txt,*,*@*,*
11,codecov,==2.0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/test_requirements.txt,*,*@*,*
12,mxnet,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/setup.py,install_requires,*@*,*
13,numpy,>=1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/setup.py,install_requires,*@*,*
14,scikit-learn,>=0.19.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/setup.py,install_requires,*@*,*
15,matplotlib,>=2.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/setup.py,install_requires,*@*,*
16,GPy,>=1.9.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/setup.py,install_requires,*@*,*
17,numpy,==1.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/docs/requirements.txt,*,*@*,*
18,nbsphinx,==0.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/docs/requirements.txt,*,*@*,*
19,Sphinx,==1.7.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/docs/requirements.txt,*,*@*,*
20,sphinx-rtd-theme,==0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/docs/requirements.txt,*,*@*,*
21,jupyter,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/docs/demos/requirements.txt,*,*@*,*
22,ipython,==7.16.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/docs/demos/requirements.txt,*,*@*,*
23,nbconvert,==6.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/docs/demos/requirements.txt,*,*@*,*
24,emukit,>=0.4.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/xfer-ml/docs/demos/requirements.txt,*,*@*,*
25,numpy,>= 1.17.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/finite_ntk/requirements.txt,*,*@*,*
26,matplotlib,==3.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/finite_ntk/requirements.txt,*,*@*,*
27,gpytorch,>= 1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/finite_ntk/requirements.txt,*,*@*,*
28,torch,>= 1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/finite_ntk/requirements.txt,*,*@*,*
29,torchvision,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/finite_ntk/requirements.txt,*,*@*,*
30,pandas,==0.25.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/finite_ntk/requirements.txt,*,*@*,*
31,seaborn,==0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/finite_ntk/requirements.txt,*,*@*,*
32,rpy2,==3.2.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/finite_ntk/requirements.txt,*,*@*,*
33,tqdm,==4.36.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/finite_ntk/requirements.txt,*,*@*,*
34,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/nn_similarity_index/requirements.txt,*,*@*,*
35,torch,>= 1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/nn_similarity_index/requirements.txt,*,*@*,*
36,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/nn_similarity_index/requirements.txt,*,*@*,*
37,python,>= 3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/nn_similarity_index/requirements.txt,*,*@*,*
38,bypy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/synthetic_info_bottleneck/requirements.txt,*,*@*,*
39,easydict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/synthetic_info_bottleneck/requirements.txt,*,*@*,*
40,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/synthetic_info_bottleneck/requirements.txt,*,*@*,*
41,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/synthetic_info_bottleneck/requirements.txt,*,*@*,*
42,torchvision,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/var_info_distil/requirements.txt,*,*@*,*
43,torch,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/var_info_distil/requirements.txt,*,*@*,*
44,pytorch-ignite,==0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/xfer/var_info_distil/requirements.txt,*,*@*,*
