,dep,version,filepath,type,condition,status
0,setuptools,>=65.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
1,torchvision,>=0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
2,matplotlib,>=3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
3,requests,>=2.23.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
4,numpy,>=1.18.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
5,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
6,tqdm,>=4.64.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
7,torch,>=1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
8,opencv-python,>=4.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
9,thop,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
10,ultralytics,>=8.0.145,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
11,pandas,>=1.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
12,seaborn,>=0.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
13,scipy,>=1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
14,Pillow,>=7.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
15,gitpython,>=3.1.30,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
16,PyYAML,>=5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/requirements.txt,*,*@*,*
17,gunicorn,==19.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/utils/google_app_engine/additional_requirements.txt,*,*@*,*
18,Flask,==2.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/utils/google_app_engine/additional_requirements.txt,*,*@*,*
19,pip,==21.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/yolov3/utils/google_app_engine/additional_requirements.txt,*,*@*,*
