,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
2,adeptRL,16,4,7,3,483
3,Adlik,152,3,38,0,1980
5,AIF360,54,1,18,1,979
7,ai-platform-samples,77,3,37,1,4281
10,alibi,52,1,16,0,564
14,asteroid,67,1,24,0,84
29,bootstrap.pytorch,26,5,10,1,30
30,botbuilder-python,148,2,38,1,161
32,brainiak,52,1,13,1,541
43,cleverhans,51,4,20,0,3390
47,cogdl,49,5,16,1,29
51,Cornell-Conversational-Analysis-Toolkit,27,4,11,0,21
52,cortex,67,2,52,1,215
59,deepcell-tf,41,3,13,1,970
72,delft,35,2,13,1,961
78,donkeycar,67,1,20,0,591
89,espresso,19,1,5,0,8
90,exbert,51,2,23,1,1023
95,fairseq,40,1,13,0,25
96,fancyimpute,12,2,4,1,6
101,fathom,42,1,13,1,26
102,FCOS,17,2,5,0,79
103,feast,1239,5,172,0,350
107,flambe,47,2,19,0,49
114,garage,66,1,17,0,1447
115,gempy,31,1,7,0,36
116,gobbli,60,1,24,0,534
118,graphbrain,21,3,7,1,28
123,HDLTex,18,5,15,4,997
124,healthcare,74,2,29,1,2674
129,hummingbird,22,1,10,1,23
130,hyperpose,26,1,9,0,1038
132,image-super-resolution,12,2,7,0,982
133,inferno,38,2,16,2,64
135,interpret-text,21,1,10,0,23
140,jiant,56,7,17,1,33
143,kale,58,2,28,1,2067
156,kipoi,32,2,14,1,518
158,ktrain,26,2,7,0,24
168,loudml,78,5,22,1,997
169,lucent,14,4,8,2,78
173,magenta,30,2,5,1,481
177,mcfly,14,2,7,1,480
182,melusine,72,1,29,0,1473
184,mesh,12,1,4,1,954
185,meta-dataset,23,3,9,2,987
186,mimicry,45,9,23,5,1057
187,mindmeld,95,6,34,3,1017
196,M-LOOP,21,4,15,3,1247
208,Monk_Object_Detection,1581,6,687,3,11958
220,nflows,19,3,7,1,24
223,nnUNet,21,4,7,0,20
237,openvino,456,1,173,0,4541
242,PARL,120,1,37,0,279
246,persephone,18,1,7,1,491
249,privacy,34,2,13,0,957
274,pytorch-ts,11,3,5,1,9
275,pytorch_wavelets,28,1,11,0,49
288,rl-agents,13,1,5,0,12
293,RMDL,17,1,15,1,987
299,sentence-transformers,21,2,16,0,44
307,snorkel,37,1,15,0,31
318,submarine,58,4,26,2,999
319,surreal,51,5,9,1,1449
331,TextRecognitionDataGenerator,26,1,11,1,663
344,tpot,32,1,14,0,28
348,transfer-nlp,14,1,5,0,14
354,vaex,120,23,35,0,692
357,VideoSuperResolution,12,3,6,0,69
364,zoltar,10,2,2,1,476
