,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
7,botbuilder-python,148,2,38,1,161
12,cortex,67,2,52,1,215
14,delft,35,2,13,1,961
17,exbert,51,2,23,1,1023
19,fancyimpute,12,2,4,1,6
21,FCOS,17,2,5,0,79
23,flambe,47,2,19,0,49
29,healthcare,74,2,29,1,2674
32,image-super-resolution,12,2,7,0,982
33,inferno,38,2,16,2,64
36,kale,58,2,28,1,2067
37,kipoi,32,2,14,1,518
38,ktrain,26,2,7,0,24
41,magenta,30,2,5,1,481
42,mcfly,14,2,7,1,480
55,privacy,34,2,13,0,957
60,sentence-transformers,21,2,16,0,44
69,zoltar,10,2,2,1,476
