,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
1,Adlik,152,3,38,0,1980
4,alibi,52,1,16,0,564
5,asteroid,67,1,24,0,84
9,cleverhans,51,4,20,0,3390
11,Cornell-Conversational-Analysis-Toolkit,27,4,11,0,21
15,donkeycar,67,1,20,0,591
16,espresso,19,1,5,0,8
18,fairseq,40,1,13,0,25
21,FCOS,17,2,5,0,79
22,feast,1239,5,172,0,350
23,flambe,47,2,19,0,49
24,garage,66,1,17,0,1447
25,gempy,31,1,7,0,36
26,gobbli,60,1,24,0,534
31,hyperpose,26,1,9,0,1038
32,image-super-resolution,12,2,7,0,982
34,interpret-text,21,1,10,0,23
38,ktrain,26,2,7,0,24
43,melusine,72,1,29,0,1473
51,nnUNet,21,4,7,0,20
52,openvino,456,1,173,0,4541
53,PARL,120,1,37,0,279
55,privacy,34,2,13,0,957
57,pytorch_wavelets,28,1,11,0,49
58,rl-agents,13,1,5,0,12
60,sentence-transformers,21,2,16,0,44
61,snorkel,37,1,15,0,31
65,tpot,32,1,14,0,28
66,transfer-nlp,14,1,5,0,14
67,vaex,120,23,35,0,692
68,VideoSuperResolution,12,3,6,0,69
