,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
2,adeptRL,16,4,7,3,483
5,AIF360,54,1,18,1,979
7,ai-platform-samples,77,3,37,1,4281
29,bootstrap.pytorch,26,5,10,1,30
30,botbuilder-python,148,2,38,1,161
32,brainiak,52,1,13,1,541
47,cogdl,49,5,16,1,29
52,cortex,67,2,52,1,215
59,deepcell-tf,41,3,13,1,970
72,delft,35,2,13,1,961
90,exbert,51,2,23,1,1023
96,fancyimpute,12,2,4,1,6
101,fathom,42,1,13,1,26
118,graphbrain,21,3,7,1,28
123,HDLTex,18,5,15,4,997
124,healthcare,74,2,29,1,2674
129,hummingbird,22,1,10,1,23
133,inferno,38,2,16,2,64
140,jiant,56,7,17,1,33
143,kale,58,2,28,1,2067
156,kipoi,32,2,14,1,518
168,loudml,78,5,22,1,997
169,lucent,14,4,8,2,78
173,magenta,30,2,5,1,481
177,mcfly,14,2,7,1,480
184,mesh,12,1,4,1,954
185,meta-dataset,23,3,9,2,987
186,mimicry,45,9,23,5,1057
187,mindmeld,95,6,34,3,1017
196,M-LOOP,21,4,15,3,1247
220,nflows,19,3,7,1,24
246,persephone,18,1,7,1,491
274,pytorch-ts,11,3,5,1,9
293,RMDL,17,1,15,1,987
318,submarine,58,4,26,2,999
319,surreal,51,5,9,1,1449
331,TextRecognitionDataGenerator,26,1,11,1,663
364,zoltar,10,2,2,1,476
