,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
0,adaptnlp,18,0,16,0,88
1,addons,9,0,4,0,1444
2,adeptRL,16,4,7,3,483
3,Adlik,152,3,38,0,1980
4,adversarial-robustness-toolbox,84,0,28,0,1653
5,AIF360,54,1,18,1,979
6,aima-python,18,0,10,0,596
7,ai-platform-samples,77,3,37,1,4281
8,AIX360,53,0,26,0,1477
9,albumentations,24,0,15,0,594
10,alibi,52,1,16,0,564
11,alibi-detect,60,0,18,0,606
12,allennlp,54,0,16,0,42
13,arviz,57,0,14,0,39
14,asteroid,67,1,24,0,84
15,astroNN,27,0,13,0,568
16,athena,23,0,5,0,61
17,AttentionGAN,5,0,2,0,2
18,audio,30,0,8,0,54
19,autokeras,22,0,8,0,488
20,automl,12,0,5,0,487
21,autonomous-learning-library,18,0,2,0,29
22,avrae,32,0,7,0,16
23,awesome-streamlit,78,0,29,0,1072
24,basenji,21,0,8,0,77
25,bert-as-service,56,0,11,0,14
26,bitextor,53,0,9,0,20
27,blitz-bayesian-deep-learning,9,0,6,0,52
28,bootcamp,24,0,9,0,46
29,bootstrap.pytorch,26,5,10,1,30
30,botbuilder-python,148,2,38,1,161
31,botorch,29,0,5,0,6
32,brainiak,52,1,13,1,541
33,brevitas,108,0,37,0,267
35,bugbug,156,0,41,0,576
37,bullet3,5,0,2,0,482
38,calamari,24,0,6,0,956
39,captum,23,0,7,0,29
40,catalyst,44,0,20,0,87
41,cherry,17,0,8,0,29
42,ClassyVision,14,0,6,0,12
43,cleverhans,51,4,20,0,3390
44,CLUE,5,0,5,0,2370
45,clusterfuzz,75,0,30,0,147
46,CMSIS_5,8,0,2,0,4
47,cogdl,49,5,16,1,29
48,compression,6,0,4,0,958
49,ConvLab,151,0,49,0,634
50,cornac,29,0,22,0,4243
51,Cornell-Conversational-Analysis-Toolkit,27,4,11,0,21
52,cortex,67,2,52,1,215
53,covidify,14,0,7,0,69
54,creme,40,0,10,0,23
55,CRNN_Tensorflow,11,0,1,0,5
56,CrypTen,131,0,44,0,103
57,data-validation,15,0,8,0,482
58,ddsp,30,0,7,0,476
59,deepcell-tf,41,3,13,1,970
60,deepchem,39,0,15,0,993
61,deepface,18,0,9,0,562
62,deep-koalarization,8,0,5,0,1013
63,deeplift,6,0,6,0,1930
64,deepmedic,5,0,3,0,10
65,DeepPavlov,48,0,13,0,36
66,deep-person-reid,23,0,7,0,105
67,DeepRobust,28,0,12,0,90
68,DeepSpeech,37,0,9,0,498
69,deepspeech.pytorch,18,0,7,0,18
70,DeepSpeed,51,0,17,0,40
71,DeepXi,5,0,3,0,483
72,delft,35,2,13,1,961
73,DetectoRS,32,0,8,0,60
74,dgl,31,0,15,0,46
75,DiCE,26,0,10,0,500
76,distiller,31,0,11,0,58
77,dm-haiku,215,0,42,0,1960
78,donkeycar,67,1,20,0,591
80,DREAMPlace,10,0,4,0,8
81,ebonite,81,0,40,0,1016
82,EdgeML,64,0,35,0,1025
83,ee-outliers,84,0,24,0,115
84,EfficientNet-PyTorch,1,0,1,0,1
85,EGG,11,0,5,0,23
86,elastic,9,0,4,0,14
87,elasticdl,36,0,15,0,1129
88,eran,10,0,8,0,522
89,espresso,19,1,5,0,8
90,exbert,51,2,23,1,1023
91,facenet-pytorch,17,0,11,0,110
92,faceswap,43,0,13,0,2680
93,fairing,47,0,23,0,1543
94,fairness-indicators,11,0,5,0,946
95,fairseq,40,1,13,0,25
96,fancyimpute,12,2,4,1,6
97,FARM,45,0,27,0,70
98,fastai,2,0,1,0,9
99,fast-bert,26,0,12,0,26
100,fastNLP,10,0,3,0,12
101,fathom,42,1,13,1,26
102,FCOS,17,2,5,0,79
103,feast,1239,5,172,0,350
104,federated,40,0,6,0,946
105,fhir,47,0,12,0,21
106,flair,68,0,12,0,28
107,flambe,47,2,19,0,49
108,flashtorch,6,0,3,0,63
109,flow,31,0,13,0,534
110,fonduer,38,0,11,0,41
111,foolbox,31,0,8,0,496
112,forecasting,10,0,6,0,478
113,funsor,34,0,9,0,46
114,garage,66,1,17,0,1447
115,gempy,31,1,7,0,36
116,gobbli,60,1,24,0,534
117,gpytorch,31,0,8,0,22
118,graphbrain,21,3,7,1,28
119,graphics,35,0,12,0,1907
120,guildai,78,0,38,0,2560
121,habitat-api,48,0,18,0,106
122,hangar-py,24,0,10,0,35
123,HDLTex,18,5,15,4,997
124,healthcare,74,2,29,1,2674
125,hep_ml,16,0,9,0,30
126,heterocl,47,0,12,0,47
127,Hey-Jetson,222,0,61,0,1050
128,HistomicsTK,31,0,16,0,94
129,hummingbird,22,1,10,1,23
130,hyperpose,26,1,9,0,1038
131,ignite,78,0,29,0,94
132,image-super-resolution,12,2,7,0,982
133,inferno,38,2,16,2,64
134,interpret-community,43,0,12,0,993
