,Unnamed: 0,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
16,16,athena,23,0,5,0,61
20,20,automl,12,0,5,0,487
31,31,botorch,29,0,5,0,6
42,44,CLUE,5,0,5,0,2370
60,62,deep-koalarization,8,0,5,0,1013
82,85,EGG,11,0,5,0,23
86,89,espresso,19,1,5,0,8
91,94,fairness-indicators,11,0,5,0,946
99,102,FCOS,17,2,5,0,79
156,159,KungFu,10,0,5,0,958
169,173,magenta,30,2,5,1,481
195,201,mmfashion,12,0,5,0,21
204,210,monoloco,12,0,5,0,23
212,218,neuralcoref,11,0,5,0,11
251,257,pyprob,18,0,5,0,18
263,269,pytorch-metric-learning,13,0,5,0,19
268,274,pytorch-ts,11,3,5,1,9
275,281,quantum,22,0,5,0,943
281,288,rl-agents,13,1,5,0,12
290,297,scikit-lego,28,0,5,0,13
298,306,snn_toolbox,14,0,5,0,539
313,322,tensorflow-onnx,13,0,5,0,16
314,323,TensorFlowOnSpark,8,0,5,0,502
331,340,torchgan,8,0,5,0,66
339,348,transfer-nlp,14,1,5,0,14
347,356,videoflow,8,0,5,0,77
