,project,#dependencies,#bloated,#vulnerable,#bloated&vulnerable,#vulnerabilities
18,audio,30,0,8,0,54
19,autokeras,22,0,8,0,488
24,basenji,21,0,8,0,77
39,cherry,17,0,8,0,29
55,data-validation,15,0,8,0,482
71,DetectoRS,32,0,8,0,60
85,eran,10,0,8,0,522
108,foolbox,31,0,8,0,496
114,gpytorch,31,0,8,0,22
165,lucent,14,4,8,2,78
185,MIScnn,24,0,8,0,976
206,mt-dnn,16,0,8,0,21
218,norse,16,0,8,0,30
222,nuscenes-devkit,18,0,8,0,94
223,nussl,39,0,8,0,44
248,pymc3,41,0,8,0,21
264,PyTorch-NLP,18,0,8,0,24
291,selene,15,0,8,0,24
300,solt,23,0,8,0,18
333,torchsat,16,0,8,0,96
